company_name,job_categories,job_experience,job_level,job_link,job_location,job_requirement,job_role_resp,job_salaries_max,job_salaries_min,job_salaries_type,job_skills,job_title,job_type
GOOGLE ASIA PACIFIC PTE. LTD.,Sales / Retail ,,Executive,https://www.mycareersfuture.sg/job/data-analyst-singapore-google-asia-pacific-fb3f4ab2a24f0992c6947041e0ae57bf,"MARINA BAY FINANCIAL CENTRE, 8 MARINA BOULEVARD 018981","Minimum qualifications:,- BA/BS degree in Mathematics, Statistics, Computer Science, or a related field, or equivalent practical experience.,- 3 years of experience working as a business analyst with a focus on analytics for a consultancy, technology, financial services or online commerce company.,- Experience with SQL and experience in querying and analyzing large datasets.,Preferred qualifications:,- Experience working in a product development, sales and/or marketing capacity in media, advertising, e-commerce, or search, with a focus on structuring and implementing operational initiatives across Sales teams.,- Track record of working effectively with increasing levels of responsibility and independence.,- Effective influencing and interpersonal skills, with the ability to work across various business functions.,- Excellent communication skills, with the ability to communicate with Technical teams.,- Excellent problem-solving and analytical skills.","Company overview:,Google is not a conventional company, and we don’t intend to become one. True, we share attributes with the world’s most successful organizations – a focus on innovation and smart business practices comes to mind – but even as we continue to grow, we’re committed to retaining a small-company feel. At Google, we know that every employee has something important to say, and that every employee is integral to our success. We provide individually-tailored compensation packages that can be comprised of competitive salary, bonus, and equity components, along with the opportunity to earn further financial bonuses and rewards. Googlers thrive in small, focused teams and high-energy environments, believe in the ability of technology to change the world, and are as passionate about their lives as they are about their work. For more information, visit www.google.com/careers.,The area: Large Customer Sales (LCS),Our Large Customer Sales teams partner closely with many of the world’s biggest advertisers and agencies to develop digital solutions that build strong businesses and brands. We enjoy a bird’s eye view on the massive transformation occurring as advertising shifts to mobile and online platforms. We're uniquely situated to help shape how companies grow their businesses in the digital age. We advise clients on Google's broad range of products across search, video and mobile to help them connect instantly and seamlessly with their audiences.,The role: Data Analyst - Singapore,Businesses that partner with Google come in all shapes, sizes and market caps, and no one Google advertising solution works for all. Your knowledge of online media combined with your communication skills and analytical abilities shapes how new and existing business grow. Using your influencing and relationship-building skills, you provide Google-caliber client service, research and market analysis. You anticipate how decisions are made, persistently explore and uncover the business needs of Google's key clients and understand how our range of product offerings can grow their business. Working with them, you set the vision and the strategy for how their advertising can reach thousands of users.,Additional Role Description:,The Specialist team partners with the Large Customer Sales (LCS) teams across South East Asia to empower our customers in meeting their advertising goals. As a Data Analyst, you'll be the custodian of data for the Specialist team, working across all products to help shape Google's business and technical strategies by processing, analyzing, and interpreting data.,In this role, you will help set strategy, define annual business plans, develop regional or country initiatives, align investments, as well as drive day-to-day operations and execution of the plan for key products. The role provides business critical insights using analytics, ensures cross-functional alignment of goals and execution, and helps teams drive strategic partnerships and new initiatives forward.,Responsibilities:,- Analyze data to identify new data-driven business opportunities, estimating value and resources required by customers and Google.,- Create dashboards, presentations, and facilitate management reporting.,- Collaborate with Specialists, gTech, Go-to-Market, and Large Customer Sales to implement and scale the solutions identified.,- Lead all executive reporting/dashboarding and tracking across products.","$21,000","$10,500",Monthly,"Analysis,Business Analysis,Business Strategy,Corporate Finance,Data Analysis,Equities,Financial Analysis,Financial Modeling,Investment Banking,Investments,Leadership,Management,Microsoft Excel,Microsoft Office,Process Improvement,Project Management,Research,Strategic Planning,Strategy,Valuation",Data Analyst - Singapore,Full Time
MERCK PTE. LTD.,Information Technology,,Professional,https://www.mycareersfuture.sg/job/data-scientist-merck-282468cd9f95fb3a2711b22f64ac37a4,"ASCENT, 2 SCIENCE PARK DRIVE 118222","Advanced degree in Computer Science, Engineering, Applied Mathematics or another relevant quantitative/scientific field,3+ years of deep technical experience in predictive analytics, machine learning, optimization, and fluent in a number the following technologies: R, Python, SQL, AWS, Tableau,Proven track record in industrial, chemical, biotechnology business with statistical analysis and big data methodological services,Expertise in modeling and simulation,Strong intrinsic analytical skills, ability to structure and solve problems and conduct and interpret analysis independently,Passion for new technologies and demonstrated learning agility,Developed business acumen, ability to communicate and present effectively to a wide variety of audiences with impact,Ability to work in a matrix environment and build multi-dimensional relationships and cross function teaming,Excellent command of English (written and verbal), with a proactive and assertive approach","KEY ACCOUNTABILITIES:,Subject Matter Expertise,Apprehend IT & data landscape,Explore different data sources and be able to extract, clean and manipulate the data,Be the Research & Applied business data owner for APAC, ensure data integrity and reliablity,Appreciate business challenges, translate and break them down into smaller problem statements addressable through data & technology,Develop data analytics models including extra large data sets’ processing algorythms (big data) and predictive analytics models,Analyse data-based models’ outputs and draw out relevant business insights and actionable recommendations,Collaboration,Work collaboratively with business, operations and IT to bridge the gap between business needs and technical feasibility,Work collaboratively with global and country led data teams and ensure efforts are mutualized and knowledge is shared across,Drive the development of our analytical capabilities and contribute to the fostering of a data driven culture,Assist in the improvement of our tools and systems,Support APAC Head of Commercial Strategy & Analytics prepare relevant, data-based reports and dashboards for decision makers","$13,000","$9,500",Monthly,"Access,Analysis,Analytics,Business Analysis,Business Intelligence,Data Analysis,Data Mining,Databases,Management,Matlab,Microsoft Excel,Microsoft Office,PowerPoint,Project Management,R,Research,SAS,SPSS,SQL,Statistics",Data Scientist,Permanent
STANDARD CHARTERED BANK (SINGAPORE) LIMITED,Banking and Finance,,"Professional, Senior Executive",https://www.mycareersfuture.sg/job/senior-business-data-analyst-standard-chartered-bank-7e035c966e08bfef85b61180e180e04b,"MARINA BAY FINANCIAL CENTRE, 8 MARINA BOULEVARD 018981","Our Ideal Candidate,- Experience in data modelling and definition,- Experience in requirement gathering,- Experience in data profiling,- Understanding of data governance,- Ability to take initiative, identify opportunities and work with minimal management oversight,- Interpersonal skills in networking, influencing and decision taking,- Subject matter expertise in Client Lifecycle Management and Client Due Diligence systems and process,- Strong communication skills – oral, written and presentation,- Knowledge of CIB, CB and BB business segments, client types, systems and product offerings,- Experience in a relevant transformation programme as a Senior Business Analyst would be an advantage,- Weighs up benefits of short term tactical and long term strategic options to ensure solutions are delivered to the appropriate scale, scope and timing,- Experience in either Waterfall and Agile Project Management methodologies (experience in both would be an advantage),- Knowledge of the regulatory environment and the ongoing developments,- Process, commercial and operational awareness needed to develop appropriate solutions.,How to Apply,Please visit -,https://scb.taleo.net/careersection/ex/jobdetail.ftl?job=1900008841&lang=en,to apply now and take the next step in fulfilling your potential.,You can search and view current opportunities across our global organisation and apply immediately by visiting www.standardchartered.com.,To help speed up your application, please note the following:,You will need to log in (or register if you are visiting our careers site for the first time) before you can apply for a specific role,Some roles may require you to undertake an online talent assessment in addition to completing the application form (to facilitate this process it is preferable that you provide us with an email address as part of your contact information),We will ask you about your education, career history and skills and experience, it may be helpful to have this information at hand when completing your application,It usually takes 15 - 20 minutes to complete the application form; you can save your application at any time and return to complete it at your convenience.,Diversity & Inclusion,Standard Chartered is committed to diversity and inclusion. We believe that a work environment which embraces diversity will enable us to get the best out of the broadest spectrum of people to sustain strong business performance and competitive advantage. By building an inclusive culture, each employee can develop a sense of belonging, and have the opportunity to maximise their personal potential.","About Standard Chartered,We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East.,To us, good performance is about much more than turning a profit.  It's about showing how you embody our valued behaviours - do the right thing, better together and never settle - as well as our brand promise, Here for good.,We're committed to promoting equality in the workplace and creating an inclusive and flexible culture - one where everyone can realise their full potential and make a positive contribution to our organisation. This in turn helps us to provide better support to our broad client base.,The Role Responsibilities,- Support Business Project Manager from scoping, planning and approach definition through to execution,- Develop a detailed understanding of all areas of the Group CLM Systems, Policy and Procedures,- Drive requirements gathering and produce analysis artifacts to drive change initiatives,- Assist with the roll-out of releases, including User Acceptance Testing (UAT), User  Verification Test (UVT, as part of Project go live,- Development of Data Models (Entity Level), Data Dictionaries, Data standards and system Mappings,- Organize Oversee data profiling activities from IT and offshore business analysts to support enrichment and remediation activities.,- Engage with ITO to ratify ETL methodologies and results.,- Support the engagement of key stakeholders across client facing divisions, Legal and Compliance and Financial Crime Risk, etc.,- Facilitate relevant Working Groups,- Occasional need to work on weekends to support testing and go live activities","$14,999","$9,000",Monthly,"Analysis,Business Analysis,Business Intelligence,Business Process,Business Process Improvement,Business Requirements,Change Management,Integration,Management,Process Improvement,Program Management,Project Management,Requirements Analysis,Requirements Gathering,SDLC,Software Project Management,Strategy,User Acceptance Testing,Vendor Management,Visio",Senior Business Data Analyst,Full Time
LAZADA SOUTH EAST ASIA PTE. LTD.,Information Technology,,Manager,https://www.mycareersfuture.sg/job/senior-manager-data-engineer-lazada-south-east-asia-d10b977e8ab9f32f8692dd165d59afcc,"AXA TOWER, 8 SHENTON WAY 068811","Educational background in Computer Science / Electrical Engineering or similar,Understanding of database concepts and distributed processing systems,Experience with programming and understanding of basic algorithms,Strong command of SQL and database concepts,Preferred previous knowledge of Hadoop or NOSQL databases,Excellent communication & problem solving skills","Team Introduction,Lazada is the number one online shopping & selling destination in Southeast Asia – present in Indonesia, Malaysia, the Philippines, Singapore, Thailand and Vietnam. Lazada helps more than 80,000 local and international sellers as well as 2,500 brands serve the 560 million consumers in the region through its marketplace platform, supported by a wide range of tailored marketing, data, and service solutions. Lazada offers an excellent customer experience through a wide network of logistics partners and its own first- and last-mile delivery arm.,Roles & Responsibilities,Implementing working data projects based on given technical specifications,Develop real-time and batch data ingesting and processing pipelines to be used for analysis, machine learning, dashboards, alerts and visualizations.,Work closely with partner teams to establish the optimal technical solution to business problems,Monitor & manage data pipelines, ensuring accuracy and stability","$13,000","$9,000",Monthly,"Access,Analysis,Analytics,Business Analysis,Business Intelligence,Data Analysis,Data Mining,Databases,Management,Matlab,Microsoft Excel,Microsoft Office,PowerPoint,Project Management,R,Research,SAS,SPSS,SQL,Statistics","Senior Manager, Data Engineer",Full Time
TRAVELOKA SERVICES PTE. LTD.,Information Technology,,Manager,https://www.mycareersfuture.sg/job/data-analytics-lead-traveloka-services-8712611c3fb3ab76d7cadf931f3983fa,,"We are looking for someone with:,Passion in data analysis, mathematics, statistics, modeling, or pattern recognition,Strong business acumen, able to translate data to business insights,Knowledge in data structures and algorithms for processing large data,8+ years of experience in data modeling,At least 3-5 years of technical leadership experience is preferred,Strong analytical, mathematical, and communication skills,Critical thinking and strong attention to details,Bachelor's degree in technical major is preferred","You will be responsible for defining, collecting, processing, analyzing data across divisions and work with teams for driving the company, its products, and its operation forward through data. You will also be managing a team (or teams) of Data Analyst, growing and empowering them to accomplish great things, and ensuring that best practices, standards, and processes are adhered to.,You will roughly spend 60-80% time in hand-on Data Modeling, and 20-40% time in people management and coaching depending on team size. You will need to acquire contextual breadth and depth in your domain and manage stakeholders' expectations.,Working in Traveloka:,You will work in cross-functional teams and meet great people regularly from top tier technology, consulting, product, or academic background.,We work in open environment where there are no boundaries or power distance.,Everyone is encouraged to speak their mind, propose ideas, influence others, and continuously grow themselves.,Get the exposure to multi-aspect, collaborative, intensive startup experience with our recent expansion into Southeast Asia and exploration of new products.","$15,000","$8,300",Monthly,"Analysis,Analytics,Business Analytics,Business Intelligence,Customer Insight,Data Analysis,Data Mining,Digital Marketing,Digital Strategy,E-commerce,Google Analytics,Omniture,Online Advertising,Predictive Analytics,Predictive Modeling,SAS,Segmentation,Statistical Modeling,Strategy,Web Analytics",Data Analytics Lead,Permanent
ECLERX PRIVATE LIMITED,Consulting ,,Professional,https://www.mycareersfuture.sg/job/technical-data-analyst-eclerx-7cc809458abebca3475715b2f588438f,"HIGH STREET CENTRE, 1 NORTH BRIDGE ROAD 179094","The successful candidate is likely to have:,·       A proven track record with 4 years or more of relevant analytics work experience and demonstrated career progression/increase in responsibilities,·       Strong academic record: Degree in Finance, Statistics, Computer Science or related field,·       Knowledge of either SAS, R or Python,·       Strong understanding of Hadoop Database,·       Strong Knowledge of Tableau or similar visualization tools,·       Experience with file formats like JSON, XML and CSV,·       Accessing data from API's would also be hugely beneficial,·       Proficient in excel and SQL,·       Knowledge of statistical modelling and machine learning will be an added plus","The successful candidate will be responsible for Data Analytics, which will include data sourcing, data transformation, predictive modelling and creating Tableau dashboards.,Key Responsibilities:,·       Create strong blending data capabilities within team so that we can come up with useful client information from data very quickly,·       Engage with business stakeholders across countries and gather requirement and liaise with ETL team to get the required data preparation.,·       Promote analytics driven decision making processes across multiple segments/product portfolios,·       Engage and execute the dashboards on Tableau or similar visualization tools,·       Explore statistical and automation tools like R, SAS, Python for predictive and prescriptive analytics,·       Engage relevant technology teams to embed advanced statistical tools,·       Prepare and/or contribute to regular updates for various committees and governance forums,·       Provide insights to senior management and the network based on MIS and analytics,·       Highlight any perceived risks and early alerts to the management based on data analytics,·       Perform data validation and dashboard performance optimization","$10,000","$8,000",Monthly,"Analysis,Business Analysis,Business Intelligence,Data Analysis,Databases,Disaster Recovery,Integration,Java,Microsoft SQL Server,Oracle,Project Management,Requirements Analysis,Requirements Gathering,SDLC,SharePoint,Software Documentation,SQL,Testing,Unix,Visio",Technical Data Analyst,Contract
PERCEPT SOLUTIONS PTE. LTD.,"Banking and Finance, Information Technology",,Middle Management,https://www.mycareersfuture.sg/job/test-analyst-percept-solutions-6fcfdf2484719dc29ae510659666e0db,6 RAFFLES QUAY 048580,"Must have experience of atleast 5 years working in an Investment or Private Bank.,Understanding of atleast 2 Products such as FX, FX Options, FX Derivatives, Equity Derivatives, Equity Bonds, Funds IPO.","Test Data Analyst is responsible for Collecting Data Provisioning from Business Users.,Inject Test Data Through Upstream Applications.,Maintain centralised test data management tracker.,EA License No: 18S9405.","$12,000","$8,000",Monthly,"Agile Methodologies,Agile Testing,Defect Tracking,Manual Testing,Performance Testing,QTP,Quality Assurance,Quality Center,Regression Testing,Software Quality Assurance,SQL,System Integration Testing,System Testing,Test Automation,Test Cases,Test Management,Test Planning,Test Strategy,Testing,User Acceptance Testing",Test Analyst,Full Time
Company Undisclosed,Advertising / Media ,,Professional,https://www.mycareersfuture.sg/job/data-engineer-2fab625fb13fe16207621f894b9ebdb9,"MAPLETREE BUSINESS CITY, 30 PASIR PANJANG ROAD 117440","Desired Skills and Experience,6 years hands-on experience in the data platform and Python development experience.,6 years’ experience of successful application of machine learning, data mining, and statistical analysis with demonstrable impact and proven tracks records.,Strong data architecture, data modeling, schema design and effective project management skills.,Excellent communication skills and proven experience in leading data driven projects from definition through interpretation and execution.,Self-starter, capable of experimenting with various tools and developing own code and scripts for data manipulation, experimentation, algorithm implementation, accuracy measurements, etc.,Demonstrate understanding and expertise in commonly used machine learning algorithms, feature selection techniques and data modeling processes,Experience with large data sets, Spark, Hadoop, Github, Chartio, and data visualization tools a plus.,Have a passion for data analysis and delivering data solutions to help others make faster data driven decisions,You will excel at getting to the root of an issue and building compelling, data driven decks that can be easily understood and acted upon at various levels.","As Senior Data Engineer you will have a proven track record of being able to deliver code for big data platforms, and Python, and take responsibility for the production and delivery of the in house and 3rd party data technology platform allowing them to provide improved services.,Successful candidates will possess advanced programming technical expertise, strong collaborative and execution capabilities, excellent communication skills, a practical and flexible mindset, and high attention to detail and work quality.,Responsibilities of the role,Integrate all owned media touch-points data into single view and build data supply structure,Utilize big data stacks to build scalable pipeline and monitor data infrastructure,Conduct detailed part verification, validation and reliability testing.,Develops and maintains data pipelines, code/update Ansible and Python jobs,Test and maintain running of current data pipeline jobs and highly scalable data management system,of Ansible playbooks, Pythons jobs, PySpark jobs, Infrastructure on AWS, Google Cloud, GoCD build server,Integrate new data management technologies and software engineering tools into existing structures,Recommend ways to improve data reliability, efficiency and quality,Collaborate with data architects, modelers and IT team members on project goals,Collaborate with Marketing Planner, and Data analyst to contribute to new use cases,Enhance data collection procedures, including applying data cleansing, outlier identification, and missing data techniques that are relevant for building analytic systems","$10,000","$8,000",Monthly,"Access,Business Analysis,Business Intelligence,Data Analysis,Database Design,Databases,HTML,Integration,Management,Microsoft Excel,Microsoft SQL Server,Process Improvement,Program Management,Project Management,SDLC,SharePoint,SQL,T-SQL,Visio,Windows",Data Engineer,Permanent
GOOGLE ASIA PACIFIC PTE. LTD.,Banking and Finance,,Executive,https://www.mycareersfuture.sg/job/data-analyst-google-pay-singapore-google-asia-pacific-63467be01a0a69fe3a1013af2eabe5d1,"MARINA BAY FINANCIAL CENTRE, 8 MARINA BOULEVARD 018981","Minimum qualifications:,- Bachelor's degree in Computer Science, Mathematics, related quantitative field, or equivalent practical experience.,- 5 years of work experience with databases, SQL coding across standard commercial databases (e.g., Teradata, MySQL), and statistics tools (e.g., R, MATLAB, Python).,- 5 years of experience with quantitative analysis/modeling (e.g., scenario-based, sensitivity analyses, statistical techniques) and reporting.,Preferred qualifications:,- Experience as a business/quantitative analyst in e-commerce or Payments and/or financial services.,- Experience with one or more coding and/or scripting languages (e.g., Python, R, SQL, Stata, or MATLAB).,- Ability to take initiative in an unstructured environment, demonstrating a bias towards action and high attention to detail.,- Ability to communicate with a senior management.,- Excellent business judgment, problem-solving, analytical, and leadership skills.,- Excellent partnership and cross-functional collaboration skills.","Company overview:,Google is not a conventional company, and we don’t intend to become one. True, we share attributes with the world’s most successful organizations – a focus on innovation and smart business practices comes to mind – but even as we continue to grow, we’re committed to retaining a small-company feel. At Google, we know that every employee has something important to say, and that every employee is integral to our success. We provide individually-tailored compensation packages that can be comprised of competitive salary, bonus, and equity components, along with the opportunity to earn further financial bonuses and rewards. Googlers thrive in small, focused teams and high-energy environments, believe in the ability of technology to change the world, and are as passionate about their lives as they are about their work. For more information, visit www.google.com/careers.,The area: Finance,The name Google came from """"googol,"""" a mathematical term for the number 1 followed by 100 zeros. And nobody at Google loves big numbers like the Finance team when providing in depth analysis on all manner of strategic decisions across Google products. From developing forward-thinking analysis to generating management reports to scaling our automated financial processes, the Finance organization is an important partner and advisor to the business.,The role: Data Analyst, Google Pay - Singapore,Financial Analysts ensure that Google makes sound financial decisions. As a Financial Analyst, your work, whether it's modeling business scenarios or tracking performance metrics, is used by our leaders to make strategic company decisions. Working on multiple projects at a time, you'll stay focused on the details while finding creative ways to take on big picture challenges.,Additional Role Description:,As a Data Analyst, you are passionate about metrics, quantitative analytics, and analytical methods and tools. You will coordinate across functions to dissect business, product, growth, acquisition, retention, and operational metrics. You will take initiative to help leverage data, identify tactics, and define strategy. Additionally, you will conduct analyses and gather data, requirements specification, processing, and final business recommendations, collaborating with Product teams to help build future looking business models.,In this role, you will help us shape Tez, Google's payments product in India. Your work will help our leaders make strategic decisions. You will demonstrate and ability to handle multiple projects at a time, focusing on the details and finding creative ways to take on big picture challenges.,Responsibilities:,- Work with large, complex data sets to solve difficult, non-routine analysis problems, applying advanced analytical methods as needed.,- Design effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information.,- Drive visibility into business performance. Conduct regular metrics reviews, planning, and forecasting.","$13,200","$6,600",Monthly,"Analysis,Business Analysis,Business Strategy,Corporate Finance,Data Analysis,Equities,Financial Analysis,Financial Modeling,Investment Banking,Investments,Leadership,Management,Microsoft Excel,Microsoft Office,Process Improvement,Project Management,Research,Strategic Planning,Strategy,Valuation","Data Analyst, Google Pay - Singapore",Full Time
DBS BANK LTD.,Banking and Finance,,Manager,https://www.mycareersfuture.sg/job/avp-senior-data-analyst-middle-office-technology-technology-operations--dbs-bank-010afae84f63ba2dd030864bfff70264,"MARINA BAY FINANCIAL CENTRE, 12 MARINA BOULEVARD 018982","Requirements,Experience in business requirement gathering and preparing ETL specifications,Possess hands-on experience in Oracle PLSQL, Hadoop Hive, Impala, Spark and SQL etc,Min 4 years’ experience in ETL of Banking domain,Min 2 years’ project management experience,Good understating in General Ledger will be an advantage,Experience in agile methodology, Confluence and/or Jira,Excellent interpersonal and communication skills","Business Function,Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels.,Main Responsibilities,Work with business user in defining business requirement on data ensuring all data points have good business definitions,Work with related parties in performing data analysis to identify correct source of data,Work closely with relevant parties in data sourcing, preparation and integration,Responsible for data quality controls and sourcing for right data for business usage,Maintain data linage and make it available for reference","$11,700","$6,500",Monthly,"Analysis,Business Analysis,Business Strategy,Corporate Finance,Data Analysis,Equities,Financial Analysis,Financial Modeling,Investment Banking,Investments,Leadership,Management,Microsoft Excel,Microsoft Office,Process Improvement,Project Management,Research,Strategic Planning,Strategy,Valuation","AVP, Senior Data Analyst, Middle Office Technology, Technology and Operations - (WD03337)","Permanent, Full Time"
