company_name,job_categories,job_experience,job_level,job_link,job_location,job_requirement,job_role_resp,job_salaries_max,job_salaries_min,job_salaries_type,job_skills,job_title,job_type
DATHENA SCIENCE PTE. LTD.,Engineering,,"Fresh/entry level, Junior Executive",https://www.mycareersfuture.sg/job/data-scientist-dathena-science-d6b14dc48052402107bc2261b53173d9,"ONE GEORGE STREET, 1 GEORGE STREET 049145","Responsibilities:,Selecting features, building and optimizing classifiers using machine learning techniques,Data mining using state-of-the-art methods,Extending company’s data with third party sources of information when needed,Enhancing data collection procedures to include information that is relevant for building analytic systems,Processing, cleansing, and verifying the integrity of data used for analysis,Doing ad-hoc analysis and presenting results in a clear manner,Creating automated anomaly detection systems and constant tracking of its performance,Skills and Qualifications:,Strong programing skills in Scala/Python/Spark,Experience with at least one highly available data store (SQL, Hadoop, MySQL, etc.),Knowledge in Machine Learning, Statistics, Natural Language Processing,Knowledge in Deep Learning is preferable,A strong passion for empirical and independent research,Ability answering hard questions with data,Soft Skills:,Fluent in English,Data-oriented personality,Exceptional Oral and Written Communication Skills,Time management,Interpersonal Skills,Critical Thinking,Presentation Skills,Proactive and interested in the area of data security and governance. This temporary position may be converted into a full-time job.,Working Conditions:,The Data Scientist will be part of a highly qualified and dynamic team (PhD) where you will be able to learn and improve himself.,The Data Scientist must fully embrace the team spirit of a young and innovative Start-up. They must be able to adapt to a multi-cultural environment. Travel and remote location might be required.,Location,: Singapore R&D Office","Job title,Data Scientist,Reports to,Chief Science Officer (PhD) and Solution Architect,About Dathena Science,Dathena is a Swiss and Singaporean company developing data governance software based on machine learning algorithms. Dathena is the most complete and accurate data governance platform and is the only solution to easily classify and manage data with this level of accuracy while helping companies to comply with regulations. Using cutting edge machine learning technology, Dathena sift through all unstructured data allowing to regain full control on company’s information.,Job Purpose,-  We are looking for a Data Scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products.,-  Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products by improving and extending the features used by our existing classifier, by developing internal testing procedures, and enhancing our system for automated fraud detection.,-  While it is essential that the Data Scientist brings efficient and effective behavior to increase the productivity of the organization, is it also critical that the intern retain the creative spark that drives Dathena’s vision and values.,-   This position requires to be patient and perseverant in order to discover issues with huge amounts of data, and        resolve them by adding new features to an existing validation tool.,-   This is an iterative and on-going work.","$7,000","$5,000",Monthly,"AutoCAD,C,C++,Engineering,Integration,Java,Linux,Management,Manufacturing,Matlab,Microsoft Office,Product Development,Program Management,Project Engineering,Project Management,Project Planning,Python,Software Development,Telecommunications,Testing",Data Scientist,"Permanent, Full Time"
XYPHER PTE. LTD.,Information Technology,,"Professional, Executive",https://www.mycareersfuture.sg/job/data-scientist-xypher-67ddc86910fa153cc3fa5197cff8b11d,,"Ideal candidate should possess the skills as specified below:,Required Technical and Professional Expertise:,Proficiency using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.,Have foundational knowledge of data structures and algorithms,Excellent analytical, interpersonal and communication skills.,Strong problem-solving skills with an emphasis on product development.,Experience working with and creating data architectures.,Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.,Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.,Excellent written and verbal communication skills for coordinating across teams.,Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Dockers, MySQL, etc.,Experience visualizing/presenting data for stakeholders using: Tableau, High charts, D3, gg plot, etc.,Good to have,Minimum 3 years working experience manipulating data sets and building statistical models, has a Master’s in Statistics, Mathematics, Computer Science or another quantitative field, and is familiar with the software/tools,Experience with customizing Data Visualization tools,Have fundamental knowledge of blockchain technology,Software development experience added advantage,A drive to learn and master new technologies and techniques.,What's in it for you,Help shape the future of a Data Analytics and Blockchain start-up in Singapore with global aspirations,Be yourself, be engaged and have fun while you're at it,Fair remuneration,Open work culture","As a Data Scientist at DATAVLT, you will be reporting to the Head of Data Scientist and Software Engineers who are focused on solving complex business problems using blockchain and data science as an underlying technology.,Responsibilities,As our Data Scientist, you will,Process confidential data and information according to guidelines,Help on build innovative data products using cutting edge tools and technologies,Develop custom data models and algorithms to apply to data sets.,Undertake pre-processing of structured and unstructured data,Analyse large amounts of information to discover trends and patterns,Propose solutions and strategies to business challenges,Coordinate with different functional teams to implement models and monitor outcomes.","$6,000","$4,500",Monthly,"Algorithms,Assay Development,Biochemistry,Biopharmaceuticals,Biotechnology,Cell Biology,Cell Culture,Computer Science,Drug Discovery,Genetics,LaTeX,Lifesciences,Matlab,Molecular Biology,PCR,Physics,Research,Science,Simulations,Statistics",Data Scientist,Full Time
,Information Technology,,Professional,https://www.mycareersfuture.sg/job/junior-data-scientist-hubble-ea469ffbfdbf74a06767387a8c83c2d3,"ONE PEMIMPIN, 1 PEMIMPIN DRIVE 576151","What skill sets do you need:,Proficient in Python.,Proficient in one query language SQL, such as MySQL.,Experience with cloud platform GCE or AWS.,Experience with Big Query/ Redshift.,Experience with essential tools like Git, Docker.,Machine Learning knowledge is highly desirable.","Who are we:,Hubble is a technology startup focused on revolutionising the Construction Industry. The Construction industry undertakes the world’s largest, most expensive, and complex projects ever dreamt of by mankind. Yet, the Construction industry is notoriously slow to adopt new technologies and as a result, there exists a large amount of inefficiencies and problems that Hubble can create positive value and make a great impact on. This impacts the homes people live in, offices people work in, and cities generations live in.,There is no other industry where technology can have a greater impact. Bar none.,Hubble’s vision is to build the pillars of trust for the Construction industry and we are on a mission to develop the autonomous self-building construction sites of tomorrow - powered by big data, machine learning, and artificial intelligence.. Our first step to our mission is to track the Man, Machine, Material, and Money (4M) data - for the Construction industry. The 4M data can be used to optimise operations at the worksites as well as to build an automated trading platform for the 4M. We have grown rapidly to become the market leader in each of the 4M verticals:,1. Man: We have more than 10,000 construction workers (~5% market share) on Hubble's platform and have tracked more than 35 million man-hours in total.,2. Machine: We track more than 1.5 million machinery transactions/year and have >US$100 million worth of machinery on Hubble's platform today.,3. Material: We developed Hubble Maps (Patent Pending) for precise indoor material and man tracking. We were awarded BCA's Innovation Grant 2018 and presented our technology to DPM Teo Chee Hean.,4. Money: We are deployed at iconic projects such as Project Jewel, Paya Lebar Quarters, Gardens by the Bay, and City Gate and have tracked more than $1 billion in project value.,Interesting fact: We have grown rapidly without any venture funding to become the market leader in this space in less than 1 year. Our partners include the largest and most prestigious Construction companies such as Woh Hup, Lum Chang, Hexacon, Erect Group, Koh Kock Leong Enterprise, Chuan Lim Construction, and OAS Painting and Construction.,We have also built the best engineering, product, and business team comprising the best and brightest of Singapore. We are a collegial set up and are extremely collaborative. We are hiring aggressively and are looking for motivated, smart, driven, and resourceful people to join our team.,Who are we looking for:,Hubble has entered into a 12 - 18 months partnership with 2 leading Data Companies who are experts in big data, machine learning, and artificial intelligence - BoostML (see attached BoostML_Intro.pdf) and A*Star (see here) to help build up Hubble’s data infrastructure and strategy. BoostML will station 3 senior data scientists and engineers at Hubble full time over 18 months. We are looking for a talented Junior Data Scientist/Engineer who is passionate about this space and looking to learn the tools of the trade from the best in the business. You will be learning from BoostML and A*Star to build up Hubble’s data capabilities and take full ownership and leadership of this vertical at the end of 18 months after BoostML and A*Star completes the build up phase. This is an exciting and challenging role and our bet is on you. We want to groom and train you to become the future leaders in Hubble (see What Hubble will give you section).,Your current mood:,You want to be a data scientist but lack the ‘right’ paper qualifications for the job. You feel that you have talents in abundance but they are not recognised because of ‘paper qualifications’. You want to make an impact at work and make a dent in the universe. You want to be in a dynamic, fun, and energetic environment. You also want to be mentored by the best data scientists and engineers in Asia and aspire to take on leadership role in a fast growing startup. You want to step up to the plate now. You want to bat for home run and help build up the data capability of a fast growing company - Hubble.,What Hubble will give you:,Hubble is built by a team of talented, driven, and ambitious individuals. We do not subscribe to conventions. We do not let history and traditions dictate and limit our dreams to shape the world. We adopt the same mindset with our hiring. We are looking for the best and we want to bet on you. In this position, we will give you all the exposure and resources you need to eventually grow into the role of Head of Data. If you mindset is right, we promise you the ride of your life.,Who will you be working with:,If you connect with any of the description below, please apply immediately:,Purpose driven,Hungry, ambitions, and self-motivated,Meritocratic, results/performance > age/bureaucracy,Resourceful, independent, chart our own destiny,Determined, perseverance, and hard working,Creative, innovative, out of the box,Yes, the above is everyone of us at Hubble.,What will you be doing:,Trained under BoostML and A*Star and to be main coordinator,To be the overall in-charge with data related matters at Hubble,Processing data pipelines.,Build and maintain data mart and data warehouse.,Development of Machine Learning apps,Development of resource optimisation algorithms such as automated deployment algorithms for 4M","$7,100","$3,600",Monthly,"Access,Analysis,Analytics,Business Analysis,Business Intelligence,Data Analysis,Data Mining,Databases,Management,Matlab,Microsoft Excel,Microsoft Office,PowerPoint,Project Management,R,Research,SAS,SPSS,SQL,Statistics",Junior Data Scientist,Full Time
PROPERTYGURU PTE. LTD.,Information Technology,,"Executive, Senior Executive",https://www.mycareersfuture.sg/job/data-scientist-propertyguru-d4be4cc0a144ae612200804ff3033310,"TRIPLEONE SOMERSET, 111 SOMERSET ROAD 238164","Requirements:,PhD in Machine Learning related field, or Master with rich relevant experience,Familiar with general ML methods and expert in one of the following field:,Deep learning,Recommender,Supervised learning and feature engineering,Personalization,Time series analysis,Proven success in applying data science methodologies to business,Proficient in a data science language like Python, R, or Scala,Familiar with machine learning packages like scikit-learn, TensorFlow etc.,Ability to develop stable production API is a plus,Logical & systematic, team player, fast learner","The role:,PropertyGuru, Asia's leading online property group, is looking for a new data scientist for the Data Science & Analysis Team. After a phenomenal ride of growth, the company is further expanding to new milestones with special focus on Data Science & BI based products.,As a data scientist, you will be part of one of Southeast Asia's strongest technology teams working on high impact data science project. In this role, you will lead the research and execution of data science project, working with massive interesting data, and turn them into our key competency.,Our websites attract more than 100 million monthly page-views which results in non-stop massive click-stream for behavior data with around 130M of users: we also have the most comprehensive data for property supply and demand in Southeast Asia. Are you ready to turn our massive data into superior consumer satisfaction and remarkable business growth?,Responsibilities:,Initiate high impact data science projects and make actionable plan,Research and design the core algorithm,Develop prototype and some production API,Liaise with product owner and engineers to deliver,Analyse the performance of data science projects and continuously improve","$9,000","$7,000",Monthly,"Agile Methodologies,Algorithms,Artificial Intelligence,C,C++,Cloud Computing,Computer Science,Distributed Systems,High Performance Computing,Java,Linux,Machine Learning,MPI,Parallel Computing,Parallel Programming,Programming,Python,Scientific Computing,Software Development,Software Engineering",Data Scientist,"Permanent, Full Time"
PROPERTYGURU PTE. LTD.,Information Technology,,"Fresh/entry level, Junior Executive, Senior Executive",https://www.mycareersfuture.sg/job/data-scientist-propertyguru-b4bba92a8c91326eb85997fdd522818a,"TRIPLEONE SOMERSET, 111 SOMERSET ROAD 238164","Requirements:,PhD in Machine Learning related field, or Master with rich relevant experience,Familiar with general ML methods and expert in one of the following field:,Deep learning,Recommender,Supervised learning and feature engineering,Personalization,Time series analysis,Proven success in applying data science methodologies to business,Proficient in a data science language like Python, R, or Scala,Familiar with machine learning packages like scikit-learn, TensorFlow etc.,Ability to develop stable production API is a plus,Logical & systematic, team player, fast learner","PropertyGuru, Asia's leading online property group, is looking for a new data scientist for the Data Science & Analysis Team. After a phenomenal ride of growth, the company is further expanding to new milestones with special focus on Data Science & BI based products.,As a data scientist, you will be part of one of Southeast Asia's strongest technology teams working on high impact data science project. In this role, you will lead the research and execution of data science project, working with massive interesting data, and turn them into our key competency.,Our websites attract more than 100 million monthly page-views which results in non-stop massive click-stream for behavior data with around 130M of users: we also have the most comprehensive data for property supply and demand in Southeast Asia. Are you ready to turn our massive data into superior consumer satisfaction and remarkable business growth?,Responsibilities:,Initiate high impact data science projects and make actionable plan,Research and design the core algorithm,Develop prototype and some production API,Liaise with product owner and engineers to deliver,Analyse the performance of data science projects and continuously improve","$7,000","$5,000",Monthly,"Agile Methodologies,Algorithms,Artificial Intelligence,C,C++,Cloud Computing,Computer Science,Distributed Systems,High Performance Computing,Java,Linux,Machine Learning,MPI,Parallel Computing,Parallel Programming,Programming,Python,Scientific Computing,Software Development,Software Engineering",Data Scientist,Full Time
AZENDIAN SOLUTIONS PTE. LTD.,Information Technology,,Manager,https://www.mycareersfuture.sg/job/data-scientist-azendian-solutions-7cd339858db216372bcee150d25d2e64,,"Lead all R&D direction for product development,Work with stakeholders to understand the business case and provide input,Manage end-to-end lifecycle of building and validating models,Identify desired/required dataset and data sources,Provide input into the development of backend systems,Guidance and mentoring for team members,Requirements,3+ years of experience in manipulating data and developing models and algorithms,Experience in writing production grade algorithms,Demonstrated expertise in Machine Learning and Optimization, especially time series data,Proficiency in applying advanced statistical techniques,Demonstrated expertise in practical data processing, data mining and information retrieval tasks,Experience working in cross-functional team environment,Excited to gain knowledge in a new domain,Strong intellectual curiosity and a passion for solving high impact real-world problems,Excellent communication, leadership, relationship skills and a strong team player","We are the data people. Everything we do center around data. We manage data, use them and prepare organisations to transform their culture and operations towards a data and insight driven approach.,And now, we are starting a Smart Buildings division. Our vision is to use data science to bring buildings into the 21st century. Our products and services aim to manage energy costs, generate insights for the facilities team and make every experience in a building seamless.,We’re looking for a Data Scientist to join our Product Development Team and spearhead all data science activities related to developing products for our software-as-a-service platform. Responsible for overseeing the data science team, the successful candidate manages the full lifecycle of the process of question formulation, design, research and development, implementation, and testing.,The current team is comprised of 3 machine learning engineers who are keen to be led and mentored by the successful candidate.  The raw data can be a mixture between categorical and time series data with problems ranging from real-time optimization to analytics/descriptive product solutions.,As a Data Scientist with Azendian, you will have a chance to make a global impact as the application of data science in this domain is still at its infancy.","$16,000","$8,000",Monthly,"Business Analysis,Business Intelligence,Data Analysis,Data Architecture,Data Integration,Data Modeling,Data Warehouse Architecture,Data Warehousing,Database Design,Databases,Enterprise Architecture,ETL,Integration,Master Data Management,Microsoft SQL Server,Oracle,PL/SQL,Requirements Analysis,SDLC,SQL",Data Scientist,Full Time
INFOCEPTS PTE. LTD.,Information Technology,,Middle Management,https://www.mycareersfuture.sg/job/data-scientist-infocepts-f5ec58e8489a1fa90be0fd24f05dfd97,"THE SIGNATURE, 51 CHANGI BUSINESS PARK CENTRAL 2 486066","Skills and Qualifications:,Relevant years of experience i.e. minimum 3+ years of experience in data or statistical analysis, with mathematical and causal modelling skills,Experience of analyzing data from relational data sources, Flat files, CSV files,Experience of writing Advanced SQL (Oracle, SQL Server, MSACCESS), Hive Query Language (Hadoop) queries for Data Reconciliation, Data Completeness, Data cleanness, Data Transformation, Segmentation, Normalization and Data Quality tests.,Good understanding of ETL Concepts and Data Modelling in RDBMS vs non-relational database,Knowledge of working on NoSQL technologies like Hadoop, MapR, Cassandra etc.,Working with data visualization frameworks for web applications such as D3.js, HighCharts etc. would be an added advantage,Candidates with exposure in retail domain will be preferred,Exposure in working in Agile environments,Must be an individual contributor,Engineering from premier institutes (preferably in statistics, applied math, or related discipline),Ability to come up with solutions to loosely defined business problems by leveraging pattern detection over potentially large datasets.","Introduction:,We’re seeking an experienced data scientist to deliver insight to us on a daily basis. The ideal team member will have the mathematical and statistical expertise you’d expect, but a natural curiosity and creative mind that’s not so easy to find. As you mine, interpret, and clean our data, we will rely on you to ask questions, connect the dots, and uncover opportunities that lie hidden within—all with the ultimate goal of realizing the data’s full potential. You will join a team of data specialists, but will “slice and dice” data using your own methods, creating new visions for the future.,Job Description,Responsibilities:,Provide business with meaningful data by using data mining techniques, including pattern detection, graph analysis or statistical analysis.,Work with the business stakeholders to identify data requirements, model and frame business scenarios that are meaningful and which impact on critical business processes and/or decisions.,Identifying important datasets out of tons of data provided to you based on retail domain knowledge and interaction with business stakeholders,Manage mapping of data fields from Relational databases to NoSQL data bases,Design data models in non-relational databases and migrate data from relational to non-relational databases,Enable data validation frameworks to validate data migrated from relational to non-relational databases,Ability to independently process, sanitize, and verifying the integrity of data used for analysis,Ability to enhance/optimize data migration procedures to include data that is relevant for building analytic systems,Support reporting analysts in enabling the required data in flattened structures,Work with IT teams to support data collection, integration and retention requirements based on the input collected with the business.,Ensure that the information used follows the compliance, access management and control policies of the organization.,Suggest ongoing improvements to methods and algorithms that lead to findings, including new information.,Understand the use and ability to employ the appropriate algorithm to discover patterns.","$10,000","$7,000",Monthly,"Business Analysis,Business Intelligence,Data Analysis,Data Architecture,Data Integration,Data Modeling,Data Warehouse Architecture,Data Warehousing,Database Design,Databases,Enterprise Architecture,ETL,Integration,Master Data Management,Microsoft SQL Server,Oracle,PL/SQL,Requirements Analysis,SDLC,SQL",Data Scientist,Permanent
NTUC ENTERPRISE CO-OPERATIVE LTD,Information Technology,,Executive,https://www.mycareersfuture.sg/job/data-scientist-ntuc-enterprise-co-operative-92cbf28222ce2531c00bde40613a16ad,,"Masters in Statistics, Mathematics, Computer Science, Operations Research, Physics, Economics, Data Analytics, or a related quantitative field.,Familiarity with consumer marketing, and with relevant industry experience in retail, consumer goods, ecommerce, technology, or consumer banking/insurance.,Good understanding of statistical analysis, data mining and machine learning.,Experience in working with large structured and unstructured data sets. Familiarity with streaming event data from web/app analytics is an advantage.,Prior exposure to web analytics tools like Google Analytics/GA 360/Adobe Catalyst, and knowledge of tag management and data layer setup in Martech/Adtech is an advantage.,Proficiency in at least two of the following languages/tools: R, Python, Spark, Scala, Hive, SQL.,Working knowledge of BI and visualisation tools like Tableau/Qlik/Power BI.,Team player who is able to build strong partnerships and collaborations.,OTHER INFORMATION,Phd/Master in Statistics, Computer Science, Operations Research, Finance, Engineering,Deep understanding of statistical analysis, data mining or machine learning,Experience in working with large structured and unstructured data sets,Ability to think analytically and deliver results that drive business decision making,Team player to build strong business partnerships,Have competency in one or more of the following programming languages or tools : Python, R, Spark, Hive, Impala Pig or Scala,Experience or knowledge in AWS environment will be a plus,Ability to write production code will be an advantage,Prepared to take on new challenges and ad-hoc requests that need quick turn-around,2 years of data analytics experience in retail/grocery industry preferred","The rapid adoption of technology and mobile devices have contributed to vast new flows of information which are larger in volume, faster in velocity, diverse in variety, and requires veracity of the information for use. This new type of information composed of structured and unstructured data, broadly known as big data (and combined with tools and platforms), if utilized well, could radically improve business performance.,As the organization embarks to become a data-driven organization, significant decisions and value generation will be based on the data that we capture and deploy. The 7 Social Entities range in a broad scope of data from FairPrice (retail), Income (insurance), Unity (healthcare), FoodFare (F&B), Learning Hub (training), First Campus (ECE), Link (membership). The leaders of these groups are keen to utilize the data to drive growth, deliver customer service, and create personalized experiences.,We are seeking a strong candidate with advanced analytics experience to fill a data scientist position within the NTUC. The role will be responsible for executing analysis that delivers valuable insights, providing predictive analytic solution with high quality and make sure the deployment with sound business sense. In this role you will work with various industries and most diverse datasets in Singapore.,Responsibilities :,Define analytical strategy to address identified opportunities, including analytical approaches, data and technology requirements for different social enterprise,Recommend improvements using analytic in the area such as consumer marketing, churn management, supply chain management optimization, personalized search and recommendation etc.,Work with various teams to plan, identify and collect data from multiple systems to support the analytic,Working with data engineer team to build and automate of the data workflows such as extraction, transformation and load (ETL) to transform raw data for analytics purpose,Develop models and perform statistical analysis to solve various strategic business problems,,Communicate and present key analytical findings to senior management and/or other stakeholders with actionable recommendations.,Working with machine learning engineer team to deploy analytical/optimization solutions to drive growth,Work with other data scientists in the team to drive projects","$8,000","$3,500",Monthly,".NET,Agile Methodologies,ASP.NET,Business Analysis,Business Intelligence,C#,Databases,HTML,Integration,Java,JavaScript,Microsoft SQL Server,Oracle,Project Management,Requirements Analysis,SDLC,Software Development,SQL,Web Services,XML",Data Scientist,Full Time
CARTRACK TECHNOLOGIES SOUTH EAST ASIA PTE. LTD.,Information Technology,,Executive,https://www.mycareersfuture.sg/job/junior-data-scientist-cartrack-technologies-south-east-asia-af98eace345595bcae36ba551959a00a,"INTERNATIONAL PLAZA, 10 ANSON ROAD 079903","Your background:,As a Data Scientist, you have:,Strong background in algorithm design and implementation, research experience with geospatial related algorithm design is a plus,Deep expertise in Big Data technologies such as Hadoop, Spark, and NoSQL databases, experience with parallel and distributed computing is a plus,Strong programming skills in Java and Scala, experience in functional programming is preferred.","Cartrack is looking for candidates that can join our growing team as a Lead Data Scientist.  We are creating revolutionary platforms that will change the industry.  We’re on track to reach 1+ million subscribers soon and are seeking passionate people with relevant experience to help deliver world-class software solutions to our clients.  To be successful in this position the candidate must work well in a fast-paced environment with like-minded engineers that have a desire to build incredible data platform in a fast, efficient and scalable manner.,You will have the opportunity to work with some of the brightest global subject matter experts that are transforming the automotive industry across Fleet Management, Asset Management and Insurance Telematics solutions.,You are:,Data Science who can develop differentiated capabilities in spatial and temporal data management (e.g. Location Intelligence, Mobile data analytics, spatial data cleaning, visualization and interactive queries) to establish our competitive advantage.,You will:,Drive Spatial data management applied research and develop core parallel algorithms and processes to bring Cartrack’s technology assets into big data platforms (include but not limit to Hadoop, Spark),Develop and scale the solutions to full-production grade,Work with clients to design and develop data oriented advanced solutions, especially in the areas of location intelligence, data quality, spatial integration, Spatial data queries and data visualization,Work with product managers and engineers to develop product roadmap and iterate minimum viable products to validate needs with real clients.","$9,000","$6,000",Monthly,"Analysis,Analytics,Business Development,Business Strategy,CRM,Customer Insight,Data Analysis,Digital Marketing,Management,Market Research,Marketing,Marketing Research,Marketing Strategy,Project Management,Qualitative Research,Quantitative Research,Research,Segmentation,Strategy,Team Management",Junior Data Scientist,Full Time
AIA SINGAPORE PRIVATE LIMITED,"Banking and Finance, Information Technology, Insurance",,Professional,https://www.mycareersfuture.sg/job/data-scientist-analyst-aia-singapore-be1f3fd889b602dc6d4ebb761baddb6a,"AIA TOWER, 1 ROBINSON ROAD 048542","Proven track record of advanced data analytics and delivering impact to the business,Experience in designing, building data models and dashboard reporting packages using Tableau, Qlikview, Python, R.,Use of more advanced statistical analytical modelling techniques to predict and optimize operational efficiencies and risk controls,Strong understanding of advanced statistical techniques and concepts (regression, properties of distributions, statistical test and proper usage, etc.),Deep experience of statistical and predictive modelling concepts, machine learning models and NLP. Expert in machine learning techniques and algorithms, such as LightGBM, XGBoost, etc.,Excellent hands-on experience in using data mining tools/ library such as Pyspider, etc.,Proficiency in Python programming language and machine learning toolkit such as Scikit-learn,Experience in manipulating structured and unstructured data sources for analysis,Experience in Data Management & Governance, and SQL-based technologies","Perform full time-cycle of Data Scientist and Analyst activities, including conceptualization to operationalization of the proposed solutions,Work closely with business teams to understand the business requirements and translate them into data models for self-analysis and self-reporting purposes via dashboards, reports, queries etc.,Build a project analysis framework for the business solutions – create analysis plan, work on hypotheses to test, build models, dashboard solutions, etc.,Collaborate with cross-functional team to deliver high impact insights using advanced analytics across multiple and large data sets,Apply data mining techniques and statistical analysis to uncover insights from the data and present results using visualization tools (i.e. Tableau, Power BI),Create standard procedures, process & best practices for data analytics to be used for current and succeeding project,Apply data science to solve business problems, perform advanced statistical analysis and simulation, build high-quality data prediction modeling and use deep learning techniques,Research, design, test, implement and validate models/ algorithms, to analyze diverse sources of data to achieve targeted outcomes,Stay on top of the current industry trend and application of machine learning & AI. Deploy high quality machine learning models into different systems,Validating machine learning results, visualizing and presenting the data insights to related functions for continuous improvements,Guide users in processing, cleansing, and verifying the integrity of data used,Solution and develop real time predictive analytics to derive actionable insights to improve operational efficiency and risks","$8,000","$6,000",Monthly,"Access,Business Analysis,Business Intelligence,Data Analysis,Database Design,Databases,HTML,Integration,Management,Microsoft Excel,Microsoft SQL Server,Process Improvement,Program Management,Project Management,SDLC,SharePoint,SQL,T-SQL,Visio,Windows",Data Scientist Analyst,Permanent
