company_name,job_categories,job_experience,job_level,job_link,job_location,job_requirement,job_role_resp,job_salaries_max,job_salaries_min,job_salaries_type,job_skills,job_title,job_type
NTT DATA SINGAPORE PTE. LTD.,"Banking and Finance, Information Technology",,"Manager, Professional",https://www.mycareersfuture.sg/job/project-manager-data-security-ntt-data-singapore-921a095cc308b1e3cd1d6ab665df4bfc,"KEPPEL TOWERS, 10 HOE CHIANG ROAD 089315","Project management,/Scrum Master/Business Analyst (agile, waterfall) and solid organizational skills,5-7yrs of experience as a seasoned project manager; clearing roadblocks, early risks/issues management, coordinating information, providing support and contributing to overall strategy,Ability to conduct techno-functional analysis of the solution and speak technically to teams,Project Management Professional (PMP) / PRINCE II certification is a plus,Execution skills,: Experience working in an agile environment with tools such as Jira and Confluence.,Communication skills:,Excellent client-facing and internal communication skills, Excellent written and verbal communication skills,Domain experience,: Finance industry and technical background in data protection, data management solutions.,Technical experience,: Hands on experience with Citrix, working knowledge of SQL, Windows/Active Directory is helpful.,Identity & Access Management,: Previous experience as an Analyst with Identity and Access Management domain; understanding of Role Based Access is an advantage","We are looking for versatile project manager who can collaborate with the teams to gather requirements and deliver solutions. The tasks you are assigned might involve collaborating with various teams to document requirements, seek buy-in and change management.  You will be a member of the program team.,Responsibility:,Workstream KPIs: hard and soft project KPIs including schedule, issue management, stakeholder management,Employee journey KPIs: Map and improve the data journey experience: functional, social, emotional changes,Project Management for the Data Isolation and Surveillance workstreams:,Develop and manage plans, for roll out of data isolation across multiple business units,Assist in educating teams in the implementation of necessary data isolation & surveillance standards,Ensure user requirements from across analytics community are being addressed,Ensure ISS buy-in is obtained,Lead business verification and change management to enable data isolation,Co-ordinate across teams to drive ADA surveillance use cases,Prepare program view across multiple dependencies and units across technology & business,Document requirements for data isolation and surveillance,Socialise solutions with BU/SU stakeholders and ensure buy-in and fit for purpose solutions,Ensure processes follow and employee journey design thinking approach are wired into technical solutions,Perform analysis of analysts’ requirements and provide recommendations for improvement to senior team members,Aid in the delivery of security guidance and training to business partners by performing security program presentations,Ensure reporting metrics and review process established,Program Delivery,Plan Agile program delivery & reporting,Work as part of a light weight central team,Consolidate program view across multiple dependencies and units across technology,Communicate technical and non-technical details up to stream lead","$9,200","$7,500",Monthly,"Budgets,Business Analysis,Business Development,Business Strategy,Change Management,Construction,Contract Management,Integration,Leadership,Management,Microsoft Office,MS Project,Process Improvement,Program Management,Project Management,Project Planning,Software Project Management,Strategic Planning,Strategy,Team Leadership",Project Manager- Data Security,Contract
NTUC ENTERPRISE CO-OPERATIVE LTD,"Education and Training, Information Technology",,Middle Management,https://www.mycareersfuture.sg/job/vice-president-enterprise-data-warehouse-ntuc-enterprise-co-operative-8665ecf7141bbb28e1802a8365c4e250,,"Must be highly technical/strong hardware and software engineering competencies. Focus will be on cloud based DWH architecture, latest DWH technologies, and CLOUD capabilities.,Demonstrated experience of moving data from existing platforms to CLOUD architecture.,Worked closely with BI teams, data science teams, and product teams to deploy the latest software including capable experience with latest tools like HADOOP, SPARK, HANA, TABLEAU, and other latest data tools.,Must have worked on new e-biz enabled business models and how data is architected in these areas specially payments, authentication, and insights/search.,Managed and rolled-out data governance standards, data protocols, data security, and privacy disciplines.,Worked closely with business and data science partners, product vendors, and software firms.,Managed significant budgets and put budgeting plans and financial disciplines in previous experiences.,Critical to have strong presentation skills, communication and articulation to non-data partners essential.,Strong strategic capability that has been proven by having built large data platforms for enterprises, e-commerce, and other digital ecosystems.","COMPANY DESCRIPTION,NTUC Enterprise is the holding entity and single largest shareholder of the NTUC Social Enterprises. NTUC Enterprise aims to create a greater social force to do good by harnessing the capabilities of the social enterprises to meet pressing social needs in areas like health and eldercare, childcare, daily essentials, cooked food and financial services. Serving over two million customers, NTUC Enterprise wants to enable and empower all in Singapore to live better and more meaningful lives.,RESPONSIBILITIES,The rapid adoption of technology and mobile devices have contributed to vast newflows of information which are larger in volume, faster in velocity, diverse in variety,and requires veracity of the information for use. This new type of information—broadly known as big data (and combined with tools and data platforms)—if utilised well, could radically improve business performance.,As the organization embarks to become a data led group, significant decisions andvalue generation will be based on the data that we capture and deploy. The leaders of the Social Enterprises are keen to utilize the data to drive growth, deliver customer service, and create personalized experiences.,The role of VP, Enterprise Data Warehouse will drive the overall strategy andexecution of how this data will be captured, stored, accessed, and deployed across these social enterprises. The role will devise a consistent data warehouse architecture strategy and a comprehensive framework for a single or hybrid datamanagement platform build on AWS, evaluate and deploy tools to access this data, deploy BI tools, set up data governance and transfer frameworks and protocols, and manage the inflow and outflow of this information. In addition, this role will work with all API developers to ensure our data flows are consistent, follow data privacy guidelines, and protects our information sharing procedures.,NTUC group has 9 social enterprises and this leader will develop the enterprise data warehouse strategy, execution, and maintenance across ALL these enterprises withina central group analytics office capability.,The group leader will have the following core responsibilities:,A complete enterprise DWH strategy and data architecture for all the 9 SE’s. The platform is already on AWS.,ETL and data engineers to build, transfer, and maintain data into this platform.,Data governance and data quality expert to build all governance and access principles.,Business Analysts to act as strategic partners to each SE CTO’s.,The Role:,As we embark on the journey of Data led enterprise, the role will be a combination of Data architecture, Data Management, Data Governance, and data visualization. The responsibilities will be as follows:,Define and set the standards for an enterprise wide framework for DWH management (on Amazon cloud), data governance, and utilization ofinformation as an organizational asset.,Develop an overall data capture, storage, and dissemination framework for all the social enterprises defining central vs. local data framework.,Build the ETL frameworks for each SE working with their technology and data leaders and enable a consistent data model for each of the enterprises inthe group CAO platform.,Set data governance standards, data control processes, data policy standards, and effective usage frameworks for the enterprise and all the SE’s.,Work with software vendors to deploy the latest BI, analytical and big data tools across the franchise.,Lead the efforts with our digital platform managers to ensure our data flows and API’s have defined and consistent frameworks.,Work with our customer experience teams, data science groups, and product managers to deploy tools and enable information access capabilities.,Closely partner with our data product solutions team as we build NE into an insights driven platform.,Work closely with SE CTO’s to deploy data towards payments, authentication, and insight solutions.","$13,000","$8,000",Monthly,"Business Analysis,Business Intelligence,Data Analysis,Data Architecture,Data Integration,Data Modeling,Data Warehouse Architecture,Data Warehousing,Database Design,Databases,Enterprise Architecture,ETL,Integration,Master Data Management,Microsoft SQL Server,Oracle,PL/SQL,Requirements Analysis,SDLC,SQL","Vice President, Enterprise Data Warehouse",Full Time
BIOFOURMIS SINGAPORE PTE. LTD.,Engineering,,Senior Executive,https://www.mycareersfuture.sg/job/big-data-engineer-biofourmis-singapore-da5fe40ce8998abe2e3646825351e2ae,"VISION EXCHANGE, 2 VENTURE DRIVE 608526","~,Advanced working SQL knowledge and experience working with relational databases,Strong analytic skills related to working with unstructured datasets,Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.,Build processes supporting data transformation, data structures, metadata, dependency and workload management.,Working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores.,Strong project management and organizational skills.,Experience supporting and working with cross-functional teams in a dynamic environment.,5+ years of experience in a Data Engineer role with degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field.","We are looking for a savvy Data Engineer to join our growing team of analytics experts. The candidate will be responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams. The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up. The Data Engineer will support our software developers, database architects, data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. The right candidate will be excited by the prospect of optimizing or even re-designing our company’s data architecture to support our next generation of products and data initiatives.,Responsibility:,Create and maintain optimal data pipeline architecture in AWS cloud,Assemble large, complex data sets that meet business requirements.,Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.,Build the infrastructure required for optimal ETL of data from a wide variety of data sources using SQL and AWS big data technologies.,Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics.,Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.,Keep our data secure across national boundaries through multiple AWS regions.,Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,Work with data and analytics experts to strive for greater functionality in our data systems.","$6,700","$5,200",Monthly,"Agile Methodologies,C#,C++,HTML,Integration,Java,JavaScript,jQuery,Linux,MySQL,PHP,Project Management,Scrum,Software Development,Software Project Management,SQL,UML,Unix,Web Services,XML",Big Data Engineer,Permanent
NTUC ENTERPRISE CO-OPERATIVE LTD,Information Technology,,Executive,https://www.mycareersfuture.sg/job/data-governance-officer-ntuc-enterprise-co-operative-0c9d7ef23d8ad7d8ba83d7c7be800c94,,"Requirements:,Relevant years’ experience in enterprise data governance and management.,Experience in data analysis, including inspection, cleansing, understanding and transforming data.,Experience in operationalising Data Governance, Data Stewardship and Data Quality, including good understanding of good management practices and data risk and regulatory issues.,Well organised and disciplined in maintaining documentation.,Familiar in working with SQL, databases, data structures and data modelling concept.,Strong inter-personal and people leadership skills to interact with diverse stakeholders.,Preferred technical skills:,Data architecture and data modeling,Data Warehouse design,ETL/ELT implementation and data integration","COMPANY DESCRIPTION,NTUC Enterprise is the holding entity and single largest shareholder of the NTUC Social Enterprises. NTUC Enterprise aims to create a greater social force to do good by harnessing the capabilities of the social enterprises to meet pressing social needs in areas like health and eldercare, childcare, daily essentials, cooked food and financial services. Serving over two million customers, NTUC Enterprise wants to enable and empower all in Singapore to live better and more meaningful lives.,RESPONSIBILITIES,The rapid adoption of technology and mobile devices have contributed to vast new flows of information which are larger in volume, faster in velocity, diverse in variety, and requires veracity of the information for use. This new type of information composed of structured and unstructured data, broadly known as big data (and combined with tools and platforms), if utilised well, could radically improve business performance.,Data Governance Officer - He/she will manage all data governance activities and will have responsibility for improving the quality and managing the protection of sensitive data and information assets, respond to regulatory protection requirements. The position will focus on establishing an enterprise data governance framework for data policies, standards and practices. Facilitate the development and implementation of data quality standards, data protection standards and adoption requirements across the enterprise. Define indicators of performance and quality metrics and ensure compliance with data related policies, standards, roles and responsibilities, and adoption requirements.,Responsibilities:,Design, build and implement the organisation data governance framework.,Create and maintain data governance and or data management reporting.,Prepare, maintain and present data quality reports.,Formulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of data.,Ensure processes and controls are in place.,Roll out the relevant data governance framework and policies to various departments, which include obtaining buy-ins from relevant stakeholders to embed operational processes to support the policy objectives.,Perform regular review of the data governance framework and policies to ensure they areupdated to meet changing organisational needs.,Contribute in terms of best practices and thought leadership in Data Governance & Strategy, and in executing enterprise-wide data governance tasks.,Create and maintain common data dictionaries and the tools/methods that support data standards for the organization.,Assist with data monitoring and provide organizational management with guidance on streamlining data management.","$8,000","$5,000",Monthly,"Access,Business Analysis,Business Intelligence,Data Analysis,Database Design,Databases,HTML,Integration,Management,Microsoft Excel,Microsoft SQL Server,Process Improvement,Program Management,Project Management,SDLC,SharePoint,SQL,T-SQL,Visio,Windows",Data Governance Officer,Full Time
CHASSASIA (SINGAPORE) PTE. LTD.,Information Technology,,Professional,https://www.mycareersfuture.sg/job/senior-data-engineer-chassasia-c63e7b3f80da4fcbb4c8b39eba1e3257,"HENDERSON BUILDING, 221 HENDERSON ROAD 159557","BS degree in Computer Science or a related technical field. MS or PhD degree is a plus.,Having at least experience of the following,2+ years of advanced Python or Java development is necessary. Scala or Kotlin experience is a plus.,2+ years of SQL (such as PostgreSQL, Oracle, AWS Redshift, or Hive) experience is required. NoSQL experience is a plus.,2+ years working with Linux OS. Knowledge of networks and cybersecurity is a plus,Experience with modern MapReduce/workflow distributed systems, especially Apache Spark. Experience with Apache Kafka is a plus,Experience working with infrastructure-as-code systems like AWS CloudFormation. DevOps experience is a plus,Experience in custom ETL pipeline design, implementation and maintenance,Experience working with visualization tools like Tableau or Apache Superset.,Ability in analyzing data to identify deliverables, gaps and inconsistencies,Ability in managing and communicating data mart plans to internal customers,Interpersonal:,Results-oriented, Team player, able to Multi-task and work Effectively in a fast-paced,Ability to communicate with technical and non-technical stakeholders,Proven working experience as senior developer in the information technology sector. Also, having experience in working with Singapore Government Agencies.,Experience in Agile (SCRUM)/Waterfall methodology.,Experience in Extreme programming, pair programing, TDD, BDD","Participated in Projects delivery SDLC - from Initial Strategic, Requirements Gathering,,Design, Testing & Implementation.,We are looking for a,Data Engineer,responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams. The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up. The Data Engineer will support our software developers, database architects, and data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects.,Responsibilities include,,Understand business processes, applications and how data is stored and gathered.,Develop and manage streaming data pipelines at enterprise scale.,Build expertise on the data. Own data quality for various data flows.,Design, build and manage data marts to satisfy our growing data needs.,Support data marts to provide intuitive analytics for internal customers.,Design and build new framework and automation tools to enable teams to consume and understand data faster.,Coding across a number of languages like SQL, Python and Java to support data scientists.,Interface with internal customers to understand data needs.,Collaborate with multiple teams and own the solution end-to-end.,Maintain infrastructure for our data pipelines.","$7,500","$6,000",Monthly,"Active Directory,Data Center,Integration,ITIL,Java,Linux,Microsoft SQL Server,MySQL,Networking,PHP,Project Management,Servers,Software Development,SQL,System Administration,Telecommunications,Troubleshooting,Virtualization,VMware,Windows Server",Senior Data Engineer,Full Time
JTC Corporation,"Information Technology, Public / Civil Service",,Manager,https://www.mycareersfuture.sg/job/sr-data-engineering-manager-jtc-corporation-1c680f27aaf4fddcc3233f5d65448db5,"THE JTC SUMMIT, 8 JURONG TOWN HALL ROAD 609434",,"Responsibilities:,You will lead and develop a team of data engineers.,The team will be responsible in designing, prototyping and productizing data pipelines and datasets for the purpose of quantitative analysis and data/ metric-driven applications.,Your will partner with internal customers, collaborate with data consumers, data analysts and scientists to build production data pipelines.,You will determine the efficacy of our current data architecture maturity and, work out a strategy plan to close any gaps spanning data usage and management, data governance and security issues.,Requirements:,We value an engineering manager who has the following attributes:,-        4+ years of relevant technical management experience,-        8+ years of hands-on data engineering work experience,-        Been actively involved in setting enterprise data and data product strategy preferably in industrial/ commercial real estate business,-        Proven track record of hiring and developing a high quality team of data/ ML/ backend engineers,-        Architecture chops on constructing near,real-time,data infrastructure and deploying high performance production services with robust monitoring and logging practices,-        Technical ability to build and interact with medium to large data processing pipelines, distributed data stores, and distributed file systems,-        Strong programming, algorithmic, data processing skills with significant coding experience (Java, Python, SQL),-        Experience in the following software is a plus (HDFS, Kafka, Nifi, MongoDB, SQL Server, PostgreSQL, Spark, Presto, Zeppelin),-        Experience in the following cloud data technologies is a plus (AWS Data Lakes and Analytics, Google Big Data Analytics, Azure Big data and analytics, etc),-        Bonus: Experience in DevOps for data engineering,-        Bonus: Experience with building data or metric-driven experimentation platform e.g. to conduct A/B experiments,preferred.","$9,000","$8,000",Monthly,"Access,Business Analysis,Business Intelligence,Data Analysis,Database Design,Databases,HTML,Integration,Management,Microsoft Excel,Microsoft SQL Server,Process Improvement,Program Management,Project Management,SDLC,SharePoint,SQL,T-SQL,Visio,Windows",Sr Data Engineering Manager (Data Architect),Permanent
Inland Revenue Authority of Singapore,"Information Technology, Public / Civil Service",,Professional,https://www.mycareersfuture.sg/job/senior-principal-infocomm-specialist-inland-revenue-authority-singapore-c1313b30ad86fda2ced8dbd4da8f6a68,"REVENUE HOUSE, 55 NEWTON ROAD 307987",,"Be Transformational.,Make your mark. Create an impact.,At IRAS, we partner you to deliver quality tax services and foster a competitive tax environment for our nation's social and economic growth. By leveraging digital capabilities as part of a future-ready team, your opportunities keep expanding.,As an Infocomm Specialist, you have the technology smarts and are at the forefront of leading infocomm trends. At IRAS, you can harness your expertise to be a digital change agent in our transformation journey. You will partner business divisions to model smart and agile IT systems to shape our digital architecture. With exposure to big data platforms, you will unleash your technical expertise to create innovative digital enterprise solutions.,The result? Seamless IT interface for customers and other innovations that benefit external and internal stakeholders.,Job Purpose:,You will be responsible for designing and architecting the new enterprise data and analytics platform that will enable embedded, data-driven processing, insights and decision making.,Key Duties and Responsibilities:,Design and architect the future data and analytics platform to enable extensive use of data and analytics enterprise-wide in IRAS,Define strategy and principles for data management,Understand how data will be used, and implications on people, processes and technology,Evaluate and advise business users on suitability and applicability of database, Big Data, and analytics platforms, tools and software for use in IRAS,Develop strategies for data acquisitions, archive recovery, and data repository / data hub implementation,Determine database structural requirements for the various data repositories to ensure data can be readily consumable regardless of source and type,Plan and conduct research, proof-of-concepts, prototypes to demonstrate technical solution and feasibility.,Develop principles, standards, best practices and tools for naming, describing, governing, managing, modelling, cleansing, transforming, moving, storing, searching and delivering all data within the organization,Skills and Knowledge:,Degree in Computer Science, Information Technology, or equivalent,At least 5 years’ experience in data modelling, data architecture, analytics platform architecture, and/or Hadoop and Big Data solution architecture,Strong knowledge of current and emerging database, Big Data, Hadoop and analytics technologies, platforms and tools,Advanced knowledge of and rich experience with data and information modelling techniques and tools,Deep knowledge of information design, usability and storage technologies,Certifications in data architecture, Big Data architecture, data science, big data analytics or equivalent would be advantageous,Strong analytical and design skills, able to translate high level business requirements into the required data and analytics platform architecture, and create designs/prototypes of solutions where required,Strong customer relationship management and interpersonal skills, including teamwork, facilitation and negotiation,Strong leadership skills, able to influence others based on earned respect and experience,Strong problem solving skills,Good written and verbal communication skills, able to articulate technology solutions to various audiences,Performance-driven, full of enthusiasm, capable of working independently and have a high level of initiative and integrity,Please submit your resume via Careers@Gov or email to careers@iras.gov.sg. Only short-listed candidates will be notified.","$9,100","$4,000",Monthly,".NET,Agile Methodologies,Architecture,Cloud Computing,Enterprise Architecture,Integration,IT Strategy,Java,JavaScript,jQuery,Oracle,Requirements Analysis,SDLC,SOA,Software Development,Solution Architecture,SQL,Web Applications,Web Services,XML",Senior / Principal Infocomm Specialist (Data & Analytics Architecture),Contract
PERX TECHNOLOGIES PTE. LTD.,Information Technology,,Senior Management,https://www.mycareersfuture.sg/job/vice-president-data-science-perx-technologies-9e0013888e4f049fe3109c2bcfed21c2,"THE RIVERWALK, 20 UPPER CIRCULAR ROAD 058416","QUALIFICATIONS:,Bachelor’s degree in engineering, IT, Math, Sciences or technical discipline (MSC preferred),Candidates will have a minimum 10 years industry experience using acceptable technology and Tools working in a complex systems and development environment building and managing complex products/solutions.,Ability to quickly prototype experimental solutions and develop robust, maintainable production systems,Strong results driven personality, with a high level of enthusiasm, energy and confidence,Ability to demonstrate flexibility and integrity: be able and willing to work hands on, independently or with a small team providing leadership,Outstanding EQ and stakeholder management skills.,Ability to make key decisions and deliver results under extremely tight and high-pressure timelines in a highly ambiguous environment.,Excellent communication skills, both written and verbal, with the ability to interact with cross-functional teams at all levels.,Experience, comfort and aptitude interacting with senior management both internally and with clients and partners.,Must be self-motivated, resourceful, diligent, and adaptive.,Superior analytical and quantitative skills with a strong understanding of data-driven decisioning and exhibited experience working with Data Science and statistical analysts.,Strong organizational and project management skills.,Travel Requirements,On needs basis","Business Overview,Perx Technologies provides a fully integrated solution that combines a next-generation SaaS loyalty management system and omni-channel marketing technologies to deliver revenue-driving digital customer experiences.,The Perx Loyalty and Customer Engagement platform allows large B2C enterprises to drive meaningful digital customer experiences targeted at millions of customers. The A.I. enabled platform is trusted by the likes of UOB, HSBC, Central group, AXA, Prudential, Digi, among others in the South East Asian and European markets to drive revenue.,We’re a company that understands that product innovation comes from people innovation, and that’s why we invest in cultivating leaders and HIPOs throughout the organization. If you’re passionate about creating and contributing to a top-notch culture and talent pool, join us!,Job Overview,The Vice President, Data Scientist manages a team of data scientists within Perx Technologies to drive value for the business by leveraging on AI and machine learning. Work with product and engineering teams to define the problem statement and develop solution with advanced analytic techniques to address key business challenges. The role will champion and project lead the implementation of the Analytic Data technology stack and associated Data Models, Integration Patterns, Quality Frameworks and Governance Models.,Essential Functions,Lead, guide, and manage the team of experienced data scientists and be accountable for the team’s delivery of data science projects that drive value for business,Partner with business stakeholders to understand needs and identify opportunities to apply data science.,Evaluate, recommend, architect and build big data platform(s) solutions understanding the business needs.,Oversee the process of data exploration & preparation, the conduct of experiments, review of model performance, and presentation of results to business stakeholders for their feedback,Lead the presentation of key insights to management with actionable recommendations,Manage the team to facilitate deployment of finalised solutions to production environment,Lead the design, reviewing, implementing and analyzing of algorithms that will substantially impact the company’s understanding of its data,Mentoring and managing junior members of the team as it grows, fostering talent development for the continued growth of the technology team in general.,Work with the Chief Technology Officer, CEO and Product Manager to answer key questions and projects that will transform the business.,Assist with the development skill set of a multi-disciplinary team to evolve from statistical services to key decision influencers,Expected Areas of Competence,Experience working with enterprise level data for multi-national companies in a hands-on role that will influence and shape how data is acquired, stored, integrated, transformed and consumed for all channels of the business and primarily the enterprise platform offering,Experience building and managing Big Data SQL Database like MemSQL or Vertica and NoSQL Database like Cassandra or HBase, both a plus,Direct experience with working within a modern engineering environment (Linux system architecture, Java (MapReduce), Python, PostGreSQL, multithreaded programming, Hadoop, etc),Experience with large-scale algorithm challenges pulling data from multiple, complex data sets and implementing solutions on AWS, in particular usage of AWS machine learning,Possess strong Project Management skills to help in the successful guidance and direction to other team members whilst working hands-on delivering and implementation of data architecture solutions and ensuring stakeholder satisfaction.,Possess complete expertise in your area of technical domain and act as a SME while working closely with other stakeholders within the Technology team.,Demonstrated experience in architecting, building and maintaining big data platform / store to support enterprise level Analytic projects.,Proven experience in creating, building and implementing data fabric, dictionaries, data quality and governance frameworks (open source frameworks like Puppet or Chef for deployment and configuration management is a plus),Hands-on experience with ‘Big Data’, data mining and predictive analytics,Deep knowledge of traditional data structure, database design, data warehouses, and Operational data stores,Hands-on experience with sourcing & architecting suitable EDW solutions (SAS, SAP, EMC, MySQL, SQL Server, Greenplum, Hadoop, MapReduce, HBase, etc)","$15,000","$10,000",Monthly,"Analysis,Business Analysis,Clinical Data Management,Clinical Trials,Data Analysis,Data Management,Databases,Earth Science,EDC,GCP,Information Management,Leadership,Management,Microsoft Office,Microsoft SQL Server,Oracle Clinical,Program Management,Project Management,Research,SQL","Vice President, Data Science",Full Time
TWITTER ASIA PACIFIC PTE. LTD.,Information Technology,,Professional,https://www.mycareersfuture.sg/job/data-engineer-twitter-asia-pacific-c6221099c428ae5fc4bfbfd1ff9f6301,"OCEAN FINANCIAL CENTRE, 10 COLLYER QUAY 049315","Requirements:,B.S. and/or M.S. in Computer Science or a related technical field, or equivalent experience,2+ years of experience in either data infrastructure or backend systems,Strong understanding of SQL,Broad knowledge of the data infrastructure ecosystem,Experience with Hadoop or other MapReduce-based architectures,Experience working with large data volumes,Good understanding of one or more of the following: Scala, C++, or Java","Who We Are:,Twitter users generate many terabytes of data every day; Twitter engineers run hundreds of experiments; Twitter Data Engineers build data pipelines and data processes that calculate metrics and scale increasingly sophisticated models of users and content.,The Data Science team at Twitter is at the intersection of all this data and strives to make it actionable to all business units around Twitter. Data Engineers work alongside Data Scientists analyze this data via observational analyses, trend analyses, modeling, and new measurement strategies. We also implement metrics to track the impact of new product experiments and more generally find ways to make very large scale data approachable to guide our decisions.,What You’ll Do:,Twitter has very large and complex datasets. As a Twitter Data Engineer you will build datasets and make them accessible to our partner teams by writing great production code to simplify the complexity. Your work will enable Product Managers and other decision-makers across the company to bring together insights and inform our product and strategy. In every decision that you influence, you will see the product improve and be more valuable to Twitter users.,We are trying to improve Twitter. To improve something, we need to be able to measure it. As a Data Engineer you will enable better measurements and ensure measurement accuracy so that we know where we are doing well and where we want to improve.,As such, you will:,Design, develop, and launch extremely efficient and reliable data pipelines to move data and to provide intuitive analytics to our partner teams.,Make Twitter-scale data more discoverable and easy to use for Data Scientists and Analysts across the company.,Collaborate with other engineers and Data Scientists to discover the best solutions.,Support your colleagues by reviewing code and designs.,Diagnose and solve issues in our existing data pipelines and envision and build their successors.,Who You Are:,You want to be part of a community of the most talented, forward-thinking Data Scientists and Engineers in the industry. You are a strong Scala or Java developer. You demonstrate clear and concise communication and data-driven decision-making.,You are passionate about learning or growing your expertise in some or all of the following:,Data Pipelines,Data Warehousing,Statistics,Metrics Development","$11,000","$9,500",Monthly,"Agile Methodologies,C,C#,C++,CSS,Eclipse,Git,HTML,Java,JavaScript,jQuery,Linux,MySQL,PHP,Python,Software Development,Software Engineering,SQL,Web Services,XML",Data Engineer,Full Time
WEB PROFESSIONAL HOUSE PTE LTD,Information Technology,,Executive,https://www.mycareersfuture.sg/job/project-executive-web-professional-house-ed1a32a8bb9f1b7f51327a430056a1f1,18 SCIENCE PARK DRIVE 118229,"The candidate should possess a Degree / Diploma in Computer Science, Engineering.,Good planning and co-ordination skills.,Strong writing, verbal communication and presentation skills.,Good team player, responsible and conscientious.,Resourceful, independent, responsive and pro-active.,Experience with office productivity suites such as Microsoft Office and Microsoft Project,At least 3 year of working experience in Information Technology (IT) projects.,At least 1 year of working experience in data migration projects.,Singaporeans only","Work with the business users, Data Migration (DM) and Functional team to achieve milestone delivery for NGPS data migration schedule.,Participate in data mapping sessions on data extraction criteria, mapping, validation and transformation/conversion rules.,Review the data mapping rules and complete the required work within agreed timeline.,Maintain and keep track of the data migration requests put forward by the business users. Ensure proper endorsement obtained by the user authority and all requests are attended to, completed within the timeline and instil proper closure accordingly.,Liaise with the data owners/users for the source systems data related issues.,Develop functional and technical specification for source systems extracts and data loading programs.,Verify and confirm the availability of data to meet NGPS data migration requirements, work with business users and NGPS team to recommend suitable default value or formula to derive those data not found in the source systems.,Develop data migration programs and tools based on data mapping specifications and ensure that the development and use of the data migration programs comply with the standards, guidelines, validation and transformation rules governing the source/target systems and data.,Perform all necessary tests on migration programs and tools and obtain sign-off from data owner. Also to obtain sign-off for all the project deliverables from the business users and/or the Authority.,Execute data migration programs in line with NGPS schedule.,Ensure the output file formats to NGPS DM team is in the correct format (such as Excel or Tab delimited flat file).,Generate verification reports to assist the business users to validate the accuracy and completeness of the extracted data, perform data cleansing and decision making processes. This may involve development of programs where necessary.,Highlight or report problems or issues encounter during mock conversions and all testing phases and propose workable solutions. The accepted solutions shall be applied in live conversion to minimise the risk in the migration.,Data migration scope of work cover the following source system(s), but not limited to: Enterprise System (ES), Electronic Procurement System (ePS)","$6,000","$4,000",Monthly,"Business Analysis,Business Development,Business Process Improvement,Business Strategy,Construction,Construction Management,Contract Management,CRM,Digital Marketing,Integration,IT Service Management,IT Strategy,Leadership,Management,Marketing,Marketing Communications,Program Management,Project Management,Project Planning,Strategy",Project Executive (Data Migration),Contract
