company_name,job_categories,job_experience,job_level,job_link,job_location,job_requirement,job_role_resp,job_salaries_max,job_salaries_min,job_salaries_type,job_skills,job_title,job_type
NTT DATA SINGAPORE PTE. LTD.,"Banking and Finance, Information Technology",,"Manager, Professional",https://www.mycareersfuture.sg/job/project-manager-data-security-ntt-data-singapore-921a095cc308b1e3cd1d6ab665df4bfc,"KEPPEL TOWERS, 10 HOE CHIANG ROAD 089315","Project management,/Scrum Master/Business Analyst (agile, waterfall) and solid organizational skills,5-7yrs of experience as a seasoned project manager; clearing roadblocks, early risks/issues management, coordinating information, providing support and contributing to overall strategy,Ability to conduct techno-functional analysis of the solution and speak technically to teams,Project Management Professional (PMP) / PRINCE II certification is a plus,Execution skills,: Experience working in an agile environment with tools such as Jira and Confluence.,Communication skills:,Excellent client-facing and internal communication skills, Excellent written and verbal communication skills,Domain experience,: Finance industry and technical background in data protection, data management solutions.,Technical experience,: Hands on experience with Citrix, working knowledge of SQL, Windows/Active Directory is helpful.,Identity & Access Management,: Previous experience as an Analyst with Identity and Access Management domain; understanding of Role Based Access is an advantage","We are looking for versatile project manager who can collaborate with the teams to gather requirements and deliver solutions. The tasks you are assigned might involve collaborating with various teams to document requirements, seek buy-in and change management.  You will be a member of the program team.,Responsibility:,Workstream KPIs: hard and soft project KPIs including schedule, issue management, stakeholder management,Employee journey KPIs: Map and improve the data journey experience: functional, social, emotional changes,Project Management for the Data Isolation and Surveillance workstreams:,Develop and manage plans, for roll out of data isolation across multiple business units,Assist in educating teams in the implementation of necessary data isolation & surveillance standards,Ensure user requirements from across analytics community are being addressed,Ensure ISS buy-in is obtained,Lead business verification and change management to enable data isolation,Co-ordinate across teams to drive ADA surveillance use cases,Prepare program view across multiple dependencies and units across technology & business,Document requirements for data isolation and surveillance,Socialise solutions with BU/SU stakeholders and ensure buy-in and fit for purpose solutions,Ensure processes follow and employee journey design thinking approach are wired into technical solutions,Perform analysis of analysts’ requirements and provide recommendations for improvement to senior team members,Aid in the delivery of security guidance and training to business partners by performing security program presentations,Ensure reporting metrics and review process established,Program Delivery,Plan Agile program delivery & reporting,Work as part of a light weight central team,Consolidate program view across multiple dependencies and units across technology,Communicate technical and non-technical details up to stream lead","$9,200","$7,500",Monthly,"Budgets,Business Analysis,Business Development,Business Strategy,Change Management,Construction,Contract Management,Integration,Leadership,Management,Microsoft Office,MS Project,Process Improvement,Program Management,Project Management,Project Planning,Software Project Management,Strategic Planning,Strategy,Team Leadership",Project Manager- Data Security,Contract
NTUC ENTERPRISE CO-OPERATIVE LTD,"Education and Training, Information Technology",,Middle Management,https://www.mycareersfuture.sg/job/vice-president-enterprise-data-warehouse-ntuc-enterprise-co-operative-8665ecf7141bbb28e1802a8365c4e250,,"Must be highly technical/strong hardware and software engineering competencies. Focus will be on cloud based DWH architecture, latest DWH technologies, and CLOUD capabilities.,Demonstrated experience of moving data from existing platforms to CLOUD architecture.,Worked closely with BI teams, data science teams, and product teams to deploy the latest software including capable experience with latest tools like HADOOP, SPARK, HANA, TABLEAU, and other latest data tools.,Must have worked on new e-biz enabled business models and how data is architected in these areas specially payments, authentication, and insights/search.,Managed and rolled-out data governance standards, data protocols, data security, and privacy disciplines.,Worked closely with business and data science partners, product vendors, and software firms.,Managed significant budgets and put budgeting plans and financial disciplines in previous experiences.,Critical to have strong presentation skills, communication and articulation to non-data partners essential.,Strong strategic capability that has been proven by having built large data platforms for enterprises, e-commerce, and other digital ecosystems.","COMPANY DESCRIPTION,NTUC Enterprise is the holding entity and single largest shareholder of the NTUC Social Enterprises. NTUC Enterprise aims to create a greater social force to do good by harnessing the capabilities of the social enterprises to meet pressing social needs in areas like health and eldercare, childcare, daily essentials, cooked food and financial services. Serving over two million customers, NTUC Enterprise wants to enable and empower all in Singapore to live better and more meaningful lives.,RESPONSIBILITIES,The rapid adoption of technology and mobile devices have contributed to vast newflows of information which are larger in volume, faster in velocity, diverse in variety,and requires veracity of the information for use. This new type of information—broadly known as big data (and combined with tools and data platforms)—if utilised well, could radically improve business performance.,As the organization embarks to become a data led group, significant decisions andvalue generation will be based on the data that we capture and deploy. The leaders of the Social Enterprises are keen to utilize the data to drive growth, deliver customer service, and create personalized experiences.,The role of VP, Enterprise Data Warehouse will drive the overall strategy andexecution of how this data will be captured, stored, accessed, and deployed across these social enterprises. The role will devise a consistent data warehouse architecture strategy and a comprehensive framework for a single or hybrid datamanagement platform build on AWS, evaluate and deploy tools to access this data, deploy BI tools, set up data governance and transfer frameworks and protocols, and manage the inflow and outflow of this information. In addition, this role will work with all API developers to ensure our data flows are consistent, follow data privacy guidelines, and protects our information sharing procedures.,NTUC group has 9 social enterprises and this leader will develop the enterprise data warehouse strategy, execution, and maintenance across ALL these enterprises withina central group analytics office capability.,The group leader will have the following core responsibilities:,A complete enterprise DWH strategy and data architecture for all the 9 SE’s. The platform is already on AWS.,ETL and data engineers to build, transfer, and maintain data into this platform.,Data governance and data quality expert to build all governance and access principles.,Business Analysts to act as strategic partners to each SE CTO’s.,The Role:,As we embark on the journey of Data led enterprise, the role will be a combination of Data architecture, Data Management, Data Governance, and data visualization. The responsibilities will be as follows:,Define and set the standards for an enterprise wide framework for DWH management (on Amazon cloud), data governance, and utilization ofinformation as an organizational asset.,Develop an overall data capture, storage, and dissemination framework for all the social enterprises defining central vs. local data framework.,Build the ETL frameworks for each SE working with their technology and data leaders and enable a consistent data model for each of the enterprises inthe group CAO platform.,Set data governance standards, data control processes, data policy standards, and effective usage frameworks for the enterprise and all the SE’s.,Work with software vendors to deploy the latest BI, analytical and big data tools across the franchise.,Lead the efforts with our digital platform managers to ensure our data flows and API’s have defined and consistent frameworks.,Work with our customer experience teams, data science groups, and product managers to deploy tools and enable information access capabilities.,Closely partner with our data product solutions team as we build NE into an insights driven platform.,Work closely with SE CTO’s to deploy data towards payments, authentication, and insight solutions.","$13,000","$8,000",Monthly,"Business Analysis,Business Intelligence,Data Analysis,Data Architecture,Data Integration,Data Modeling,Data Warehouse Architecture,Data Warehousing,Database Design,Databases,Enterprise Architecture,ETL,Integration,Master Data Management,Microsoft SQL Server,Oracle,PL/SQL,Requirements Analysis,SDLC,SQL","Vice President, Enterprise Data Warehouse",Full Time
BIOFOURMIS SINGAPORE PTE. LTD.,Engineering,,Senior Executive,https://www.mycareersfuture.sg/job/big-data-engineer-biofourmis-singapore-da5fe40ce8998abe2e3646825351e2ae,"VISION EXCHANGE, 2 VENTURE DRIVE 608526","~,Advanced working SQL knowledge and experience working with relational databases,Strong analytic skills related to working with unstructured datasets,Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.,Build processes supporting data transformation, data structures, metadata, dependency and workload management.,Working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores.,Strong project management and organizational skills.,Experience supporting and working with cross-functional teams in a dynamic environment.,5+ years of experience in a Data Engineer role with degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field.","We are looking for a savvy Data Engineer to join our growing team of analytics experts. The candidate will be responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams. The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up. The Data Engineer will support our software developers, database architects, data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. The right candidate will be excited by the prospect of optimizing or even re-designing our company’s data architecture to support our next generation of products and data initiatives.,Responsibility:,Create and maintain optimal data pipeline architecture in AWS cloud,Assemble large, complex data sets that meet business requirements.,Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.,Build the infrastructure required for optimal ETL of data from a wide variety of data sources using SQL and AWS big data technologies.,Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics.,Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.,Keep our data secure across national boundaries through multiple AWS regions.,Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,Work with data and analytics experts to strive for greater functionality in our data systems.","$6,700","$5,200",Monthly,"Agile Methodologies,C#,C++,HTML,Integration,Java,JavaScript,jQuery,Linux,MySQL,PHP,Project Management,Scrum,Software Development,Software Project Management,SQL,UML,Unix,Web Services,XML",Big Data Engineer,Permanent
NTUC ENTERPRISE CO-OPERATIVE LTD,Information Technology,,Executive,https://www.mycareersfuture.sg/job/data-governance-officer-ntuc-enterprise-co-operative-0c9d7ef23d8ad7d8ba83d7c7be800c94,,"Requirements:,Relevant years’ experience in enterprise data governance and management.,Experience in data analysis, including inspection, cleansing, understanding and transforming data.,Experience in operationalising Data Governance, Data Stewardship and Data Quality, including good understanding of good management practices and data risk and regulatory issues.,Well organised and disciplined in maintaining documentation.,Familiar in working with SQL, databases, data structures and data modelling concept.,Strong inter-personal and people leadership skills to interact with diverse stakeholders.,Preferred technical skills:,Data architecture and data modeling,Data Warehouse design,ETL/ELT implementation and data integration","COMPANY DESCRIPTION,NTUC Enterprise is the holding entity and single largest shareholder of the NTUC Social Enterprises. NTUC Enterprise aims to create a greater social force to do good by harnessing the capabilities of the social enterprises to meet pressing social needs in areas like health and eldercare, childcare, daily essentials, cooked food and financial services. Serving over two million customers, NTUC Enterprise wants to enable and empower all in Singapore to live better and more meaningful lives.,RESPONSIBILITIES,The rapid adoption of technology and mobile devices have contributed to vast new flows of information which are larger in volume, faster in velocity, diverse in variety, and requires veracity of the information for use. This new type of information composed of structured and unstructured data, broadly known as big data (and combined with tools and platforms), if utilised well, could radically improve business performance.,Data Governance Officer - He/she will manage all data governance activities and will have responsibility for improving the quality and managing the protection of sensitive data and information assets, respond to regulatory protection requirements. The position will focus on establishing an enterprise data governance framework for data policies, standards and practices. Facilitate the development and implementation of data quality standards, data protection standards and adoption requirements across the enterprise. Define indicators of performance and quality metrics and ensure compliance with data related policies, standards, roles and responsibilities, and adoption requirements.,Responsibilities:,Design, build and implement the organisation data governance framework.,Create and maintain data governance and or data management reporting.,Prepare, maintain and present data quality reports.,Formulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of data.,Ensure processes and controls are in place.,Roll out the relevant data governance framework and policies to various departments, which include obtaining buy-ins from relevant stakeholders to embed operational processes to support the policy objectives.,Perform regular review of the data governance framework and policies to ensure they areupdated to meet changing organisational needs.,Contribute in terms of best practices and thought leadership in Data Governance & Strategy, and in executing enterprise-wide data governance tasks.,Create and maintain common data dictionaries and the tools/methods that support data standards for the organization.,Assist with data monitoring and provide organizational management with guidance on streamlining data management.","$8,000","$5,000",Monthly,"Access,Business Analysis,Business Intelligence,Data Analysis,Database Design,Databases,HTML,Integration,Management,Microsoft Excel,Microsoft SQL Server,Process Improvement,Program Management,Project Management,SDLC,SharePoint,SQL,T-SQL,Visio,Windows",Data Governance Officer,Full Time
CHASSASIA (SINGAPORE) PTE. LTD.,Information Technology,,Professional,https://www.mycareersfuture.sg/job/senior-data-engineer-chassasia-c63e7b3f80da4fcbb4c8b39eba1e3257,"HENDERSON BUILDING, 221 HENDERSON ROAD 159557","BS degree in Computer Science or a related technical field. MS or PhD degree is a plus.,Having at least experience of the following,2+ years of advanced Python or Java development is necessary. Scala or Kotlin experience is a plus.,2+ years of SQL (such as PostgreSQL, Oracle, AWS Redshift, or Hive) experience is required. NoSQL experience is a plus.,2+ years working with Linux OS. Knowledge of networks and cybersecurity is a plus,Experience with modern MapReduce/workflow distributed systems, especially Apache Spark. Experience with Apache Kafka is a plus,Experience working with infrastructure-as-code systems like AWS CloudFormation. DevOps experience is a plus,Experience in custom ETL pipeline design, implementation and maintenance,Experience working with visualization tools like Tableau or Apache Superset.,Ability in analyzing data to identify deliverables, gaps and inconsistencies,Ability in managing and communicating data mart plans to internal customers,Interpersonal:,Results-oriented, Team player, able to Multi-task and work Effectively in a fast-paced,Ability to communicate with technical and non-technical stakeholders,Proven working experience as senior developer in the information technology sector. Also, having experience in working with Singapore Government Agencies.,Experience in Agile (SCRUM)/Waterfall methodology.,Experience in Extreme programming, pair programing, TDD, BDD","Participated in Projects delivery SDLC - from Initial Strategic, Requirements Gathering,,Design, Testing & Implementation.,We are looking for a,Data Engineer,responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams. The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up. The Data Engineer will support our software developers, database architects, and data analysts and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects.,Responsibilities include,,Understand business processes, applications and how data is stored and gathered.,Develop and manage streaming data pipelines at enterprise scale.,Build expertise on the data. Own data quality for various data flows.,Design, build and manage data marts to satisfy our growing data needs.,Support data marts to provide intuitive analytics for internal customers.,Design and build new framework and automation tools to enable teams to consume and understand data faster.,Coding across a number of languages like SQL, Python and Java to support data scientists.,Interface with internal customers to understand data needs.,Collaborate with multiple teams and own the solution end-to-end.,Maintain infrastructure for our data pipelines.","$7,500","$6,000",Monthly,"Active Directory,Data Center,Integration,ITIL,Java,Linux,Microsoft SQL Server,MySQL,Networking,PHP,Project Management,Servers,Software Development,SQL,System Administration,Telecommunications,Troubleshooting,Virtualization,VMware,Windows Server",Senior Data Engineer,Full Time
TWITTER ASIA PACIFIC PTE. LTD.,Information Technology,,Professional,https://www.mycareersfuture.sg/job/data-engineer-twitter-asia-pacific-c6221099c428ae5fc4bfbfd1ff9f6301,"OCEAN FINANCIAL CENTRE, 10 COLLYER QUAY 049315","Requirements:,B.S. and/or M.S. in Computer Science or a related technical field, or equivalent experience,2+ years of experience in either data infrastructure or backend systems,Strong understanding of SQL,Broad knowledge of the data infrastructure ecosystem,Experience with Hadoop or other MapReduce-based architectures,Experience working with large data volumes,Good understanding of one or more of the following: Scala, C++, or Java","Who We Are:,Twitter users generate many terabytes of data every day; Twitter engineers run hundreds of experiments; Twitter Data Engineers build data pipelines and data processes that calculate metrics and scale increasingly sophisticated models of users and content.,The Data Science team at Twitter is at the intersection of all this data and strives to make it actionable to all business units around Twitter. Data Engineers work alongside Data Scientists analyze this data via observational analyses, trend analyses, modeling, and new measurement strategies. We also implement metrics to track the impact of new product experiments and more generally find ways to make very large scale data approachable to guide our decisions.,What You’ll Do:,Twitter has very large and complex datasets. As a Twitter Data Engineer you will build datasets and make them accessible to our partner teams by writing great production code to simplify the complexity. Your work will enable Product Managers and other decision-makers across the company to bring together insights and inform our product and strategy. In every decision that you influence, you will see the product improve and be more valuable to Twitter users.,We are trying to improve Twitter. To improve something, we need to be able to measure it. As a Data Engineer you will enable better measurements and ensure measurement accuracy so that we know where we are doing well and where we want to improve.,As such, you will:,Design, develop, and launch extremely efficient and reliable data pipelines to move data and to provide intuitive analytics to our partner teams.,Make Twitter-scale data more discoverable and easy to use for Data Scientists and Analysts across the company.,Collaborate with other engineers and Data Scientists to discover the best solutions.,Support your colleagues by reviewing code and designs.,Diagnose and solve issues in our existing data pipelines and envision and build their successors.,Who You Are:,You want to be part of a community of the most talented, forward-thinking Data Scientists and Engineers in the industry. You are a strong Scala or Java developer. You demonstrate clear and concise communication and data-driven decision-making.,You are passionate about learning or growing your expertise in some or all of the following:,Data Pipelines,Data Warehousing,Statistics,Metrics Development","$11,000","$9,500",Monthly,"Agile Methodologies,C,C#,C++,CSS,Eclipse,Git,HTML,Java,JavaScript,jQuery,Linux,MySQL,PHP,Python,Software Development,Software Engineering,SQL,Web Services,XML",Data Engineer,Full Time
WEB PROFESSIONAL HOUSE PTE LTD,Information Technology,,Executive,https://www.mycareersfuture.sg/job/project-executive-web-professional-house-ed1a32a8bb9f1b7f51327a430056a1f1,18 SCIENCE PARK DRIVE 118229,"The candidate should possess a Degree / Diploma in Computer Science, Engineering.,Good planning and co-ordination skills.,Strong writing, verbal communication and presentation skills.,Good team player, responsible and conscientious.,Resourceful, independent, responsive and pro-active.,Experience with office productivity suites such as Microsoft Office and Microsoft Project,At least 3 year of working experience in Information Technology (IT) projects.,At least 1 year of working experience in data migration projects.,Singaporeans only","Work with the business users, Data Migration (DM) and Functional team to achieve milestone delivery for NGPS data migration schedule.,Participate in data mapping sessions on data extraction criteria, mapping, validation and transformation/conversion rules.,Review the data mapping rules and complete the required work within agreed timeline.,Maintain and keep track of the data migration requests put forward by the business users. Ensure proper endorsement obtained by the user authority and all requests are attended to, completed within the timeline and instil proper closure accordingly.,Liaise with the data owners/users for the source systems data related issues.,Develop functional and technical specification for source systems extracts and data loading programs.,Verify and confirm the availability of data to meet NGPS data migration requirements, work with business users and NGPS team to recommend suitable default value or formula to derive those data not found in the source systems.,Develop data migration programs and tools based on data mapping specifications and ensure that the development and use of the data migration programs comply with the standards, guidelines, validation and transformation rules governing the source/target systems and data.,Perform all necessary tests on migration programs and tools and obtain sign-off from data owner. Also to obtain sign-off for all the project deliverables from the business users and/or the Authority.,Execute data migration programs in line with NGPS schedule.,Ensure the output file formats to NGPS DM team is in the correct format (such as Excel or Tab delimited flat file).,Generate verification reports to assist the business users to validate the accuracy and completeness of the extracted data, perform data cleansing and decision making processes. This may involve development of programs where necessary.,Highlight or report problems or issues encounter during mock conversions and all testing phases and propose workable solutions. The accepted solutions shall be applied in live conversion to minimise the risk in the migration.,Data migration scope of work cover the following source system(s), but not limited to: Enterprise System (ES), Electronic Procurement System (ePS)","$6,000","$4,000",Monthly,"Business Analysis,Business Development,Business Process Improvement,Business Strategy,Construction,Construction Management,Contract Management,CRM,Digital Marketing,Integration,IT Service Management,IT Strategy,Leadership,Management,Marketing,Marketing Communications,Program Management,Project Management,Project Planning,Strategy",Project Executive (Data Migration),Contract
TOTAL EBIZ SOLUTIONS PTE. LTD.,Information Technology,,Executive,https://www.mycareersfuture.sg/job/project-executive-total-ebiz-solutions-81d7610e9a18cadd85c36c4f8ac0ded5,31 UBI ROAD 1 408694,"Education Qualification,The candidate should possess a Degree / Diploma in Computer Science, Engineering.,1.2 Required Competencies,Good planning and co-ordination skills.,Strong writing, verbal communication and presentation skills.,Good team player, responsible and conscientious.,Resourceful, independent, responsive and pro-active.,Experience with office productivity suites such as Microsoft Office and Microsoft Project.,At least 3 year of working experience in Information Technology (IT) projects.,At least 1 year of working experience in data migration projects.","Work with the business users, Data Migration (DM) and Functional team to achieve milestone delivery for NGPS data migration schedule.,Participate in data mapping sessions on data extraction criteria, mapping, validation and transformation/conversion rules.,Review the data mapping rules and complete the required work within agreed timeline.,Maintain and keep track of the data migration requests put forward by the business users. Ensure proper endorsement obtained by the user authority and all requests are attended to, completed within the timeline and instil proper closure accordingly.,c. Liaise with the data owners/users for the source systems data related issues.,Develop functional and technical specification for source systems extracts and data loading programs.,Verify and confirm the availability of data to meet NGPS data migration requirements, work with business users and NGPS team to recommend suitable default value or formula to derive those data not found in the source systems.,e. Develop data migration programs and tools based on data mapping specifications and ensure that the development and use of the data migration programs comply with the standards, guidelines, validation and transformation rules governing the source/target systems and data.,Perform all necessary tests on migration programs and tools and obtain sign-off from data owner. Also to obtain sign-off for all the project deliverables from the business users and/or the Authority.,Execute data migration programs in line with NGPS schedule.,Ensure the output file formats to NGPS DM team is in the correct format (such as Excel or Tab delimited flat file).,Generate verification reports to assist the business users to validate the accuracy and completeness of the extracted data, perform data cleansing and decision making processes. This may involve development of programs where necessary.,Highlight or report problems or issues encounter during mock conversions and all testing phases and propose workable solutions. The accepted solutions shall be applied in live conversion to minimise the risk in the migration.,Data migration scope of work cover the following source system(s), but not limited to:,Enterprise System (ES),Electronic Procurement System (ePS)","$6,000","$4,500",Monthly,"Business Analysis,Business Development,Business Process Improvement,Business Strategy,Construction,Construction Management,Contract Management,CRM,Digital Marketing,Integration,IT Service Management,IT Strategy,Leadership,Management,Marketing,Marketing Communications,Program Management,Project Management,Project Planning,Strategy",Project Executive (Data Migration),Contract
RESMED ASIA PTE. LTD.,"Engineering, Sciences / Laboratory / R&D",,"Professional, Senior Executive",https://www.mycareersfuture.sg/job/senior-systems-engineer-%E2%80%93-data-architecture-resmed-asia-44a62f0e76666e5052f8af4ee1deb3c0,8 LOYANG CRESCENT 509016,"Let’s talk Qualifications and Experience:,Bachelor of Engineering in Electrical, Mechanical, Computer Systems or Mechatronics OR Bachelor of Science (in Biophysics for example),A postgraduate qualification in Biomedical Engineering would be an advantage.,Experience in cloud computing, data interfaces and medical device product development, preferably in complete development cycle.,Experience in cybersecurity management.,Okay, so what’s next?,Joining ResMed is more than saying “yes” to making the world a healthier place. It’s discovering a career that’s challenging, supportive and inspiring. Where a culture driven by excellence helps you not only meet your goals, but also create new ones. We focus on creating a diverse and inclusive culture, encouraging individual expression in the workplace and thrive on the innovative ideas this generates. Our hope is that each day you’ll uncover a new reason to love what you do. If this sounds like the workplace for you, apply now!","Senior Systems Engineer - Data Architecture,At ResMed (NYSE: RMD, ASX: RMD) we pioneer innovative solutions that treat and keep people out of the hospital, empowering them to live healthier, higher-quality lives. Our cloud-connected medical devices transform care for people with sleep apnea, COPD and other chronic diseases. Our comprehensive out-of-hospital software platforms support the professionals and caregivers who help people stay healthy in the home or care setting of their choice. By enabling better care, we improve quality of life, reduce the impact of chronic disease and lower costs for consumers and healthcare systems in more than 120 countries. To learn more, visit ResMed.com and follow @ResMed.,The Sleep team is helping to fuel ResMed’s growth by focusing on solutions (products + software + services) to improve the quality of life for patients with sleep-disordered breathing and help providers improve efficiencies and reduce their costs. We are pioneers in providing a better experience for patients on therapy, and helping them achieve and maintain adherence with innovative masks and sleep devices with cloud connectivity. With nearly a billion people estimated to be suffering from obstructive sleep apnea, this is an opportunity to make a difference and change people’s lives whether in Marketing, Sales, or product development.,Let's talk about Responsibilities:,As a Senior Systems Engineer for the Data Architecture team, you will be working closely with a range of stakeholders to ensure ResMed’s Respiratory Care devices are built with a sound data architecture strategy that will provide value add to the patient via the device directly and via connected digital platforms consuming data collected by the device.,This will be achieved more specifically by:,Defining a product’s data architecture specification to provide desired data related functionality, including functionality required to enable remote data capabilities. Desired data related functionality, including remote data capabilities are defined in collaboration with the Marketing team.,Collaborating with Marketing and Clinical teams to define the desired data related functionality relating to value offerings facilitated through data collected by, and through, the device.,Working with the Regulatory team to ensure conformance to the appropriate Regulatory Standards per applicable region.,Defining, delivering and maintaining data architecture specifications, working in close collaboration with the Systems Engineer to ensure astute integration of therapy related functionality and data related functionality.,Working with other engineering teams both within Respiratory Care and external to Respiratory Care to coordinate on the delivery of all products and systems in the integrated care offering as well as working with the V&V team to ensure adequate end to end system test coverage.,Working with the Systems Engineer to ensure data related risks are captured and appropriately analysed within the System Risk Analysis.,Coordinating the appropriate management of Cybersecurity risks, throughout the project lifecycle, including completion of the Cybersecurity risk analysis.,Identifying and evaluating technical design alternatives to achieve desired functionality with appropriate consideration from all identified stakeholders.,Resolving data related technical issues with the engineering disciplines and reviewing issues with the XFT where required. Representing engineering disciplines at the XFT for data architecture matters.,Ensuring full traceability of data architecture related requirements, working closely with the Systems Engineer.,Ensuring product achieves performance, functionality and reliability for data related features as specified in the MRD (and CRD where appropriate), working closely with the Systems Engineer.,Ensuring that ResMed Systems Engineering processes are adhered to and recommend updates to processes where appropriate.,Supporting Manufacturing for initial and ongoing production needs.,Supporting Sustaining engineering for released products.,Collating technical material to support regulatory submissions.,Observing the principles of Occupational Health & Safety Legislation.,Producing plans for delivery of Data Architecture deliverables, as required.,Assisting with the development of user guides and other documentation delivered with the product.,In a Senior role you will also be expected to:,Mentor and identify the need to mentor other staff as required.,Solve complex engineering problems more autonomously.,Communicate complex engineering problems at various technical levels, tailoring the communications appropriately.,Provide technical leadership on Data Architecture matters both within your team and externally, including work with other departments to drive consistency on data architecture design across the ResMed business.,Leading innovation within your team through identification and implementation of improvements in engineering and business practices.","$10,000","$8,000",Monthly,"Active Directory,Cloud Computing,Data Center,Disaster Recovery,Integration,Linux,Networking,Program Management,Project Management,Security,Servers,Software Development,SQL,System Administration,Systems Engineering,Testing,Unix,Virtualization,VMware,Windows Server",Senior Systems Engineer – Data Architecture,"Permanent, Full Time"
CAPGEMINI SINGAPORE PTE. LTD.,Information Technology,,Professional,https://www.mycareersfuture.sg/job/data-engineer-capgemini-singapore-6881270e60e57757dd030a42764e21ad,6 BATTERY ROAD 049909,"Activities:,• Industrialize data integration, data cleansing, data analytics programs or data management processes.,• Contribute to the design, development, testing, deployment, performance in production and maintenance of the data-centric software including APIs, cloud-based architectures, libraries, toolbox.,• Liaise with the Data Scientists, Architects, software developers, and business experts to understand how data needs to be converted, loaded, processed and presented.,• Help the Data Architect to create an overview of the Data Lineage (from data flows, data transformations inside applications).,• Provide clear documentation of the business rules embedded in the systems and potentially manage or help solving Data Quality issues.,• Adapt to local context and tools provided by AXA’s entity as well as local entity development standards and IT landscape.,Skills:,• Technical: Strong development skills - languages will depends on the entity but mainly python and Scala, Big Data experience (Spark, Hadoop Suite) Experience in Git, continuous integration and delivery.,• Awareness on Data Management practices, including Data Lifecycle Management across Core IT & Big Data ecosystems as well as Data Privacy & Security constraints.,• Knowledge in Data Modelling (including third normal form, star schema, data vault modelling methods).,• Focus on end user and customer centricity, Strong oral and written communication skills, Passion for learning new tools, languages and frameworks, Fast adaptation to changing requirements, Strong problem-solving skills, able to work with minimal direct guidance, self-motivated and proactive, in a collaborative model, side by side with the business, Practical, hands on approach to get results.,• Experienced in Cloud services & architecture.,• Discipline in writing technical & non-technical documentation.","We are looking for Jr and Sr Data Engineers for Capgemini Singapore,Activities:,• Industrialize data integration, data cleansing, data analytics programs or data management processes.,• Contribute to the design, development, testing, deployment, performance in production and maintenance of the data-centric software including APIs, cloud-based architectures, libraries, toolbox.,• Liaise with the Data Scientists, Architects, software developers, and business experts to understand how data needs to be converted, loaded, processed and presented.,• Help the Data Architect to create an overview of the Data Lineage (from data flows, data transformations inside applications).,• Provide clear documentation of the business rules embedded in the systems and potentially manage or help solving Data Quality issues.,• Adapt to local context and tools provided by AXA’s entity as well as local entity development standards and IT landscape.,Skills:,• Technical: Strong development skills - languages will depends on the entity but mainly python and Scala, Big Data experience (Spark, Hadoop Suite) Experience in Git, continuous integration and delivery.,• Awareness on Data Management practices, including Data Lifecycle Management across Core IT & Big Data ecosystems as well as Data Privacy & Security constraints.,• Knowledge in Data Modelling (including third normal form, star schema, data vault modelling methods).,• Focus on end user and customer centricity, Strong oral and written communication skills, Passion for learning new tools, languages and frameworks, Fast adaptation to changing requirements, Strong problem-solving skills, able to work with minimal direct guidance, self-motivated and proactive, in a collaborative model, side by side with the business, Practical, hands on approach to get results.,• Experienced in Cloud services & architecture.,• Discipline in writing technical & non-technical documentation.","$7,500","$5,000",Monthly,"Access,Business Analysis,Business Intelligence,Data Analysis,Database Design,Databases,HTML,Integration,Management,Microsoft Excel,Microsoft SQL Server,Process Improvement,Program Management,Project Management,SDLC,SharePoint,SQL,T-SQL,Visio,Windows",Data Engineer,"Permanent, Contract"
